anchor_id	anchor_type	start	end	label
A0001	sentence	0	24	sentence
A0002	sentence	26	1751	sentence
A0003	sentence	1752	1997	sentence
A0004	sentence	1998	2814	sentence
A0005	sentence	2816	3040	sentence
A0006	sentence	3041	4079	sentence
A0007	sentence	4080	4161	sentence
A0008	sentence	4162	4404	sentence
A0009	sentence	4405	5021	sentence
A0010	sentence	5022	5677	sentence
A0011	sentence	5678	5975	sentence
A0012	sentence	5977	6037	sentence
A0013	sentence	6038	8009	sentence
A0014	sentence	8010	8331	sentence
A0015	sentence	8332	8686	sentence
A0016	sentence	8687	9003	sentence
A0017	sentence	9005	10323	sentence
A0018	sentence	10324	11365	sentence
A0019	sentence	11366	11957	sentence
A0020	sentence	11958	12436	sentence
A0021	sentence	12438	15480	sentence
A0022	sentence	15481	15527	sentence
A0023	sentence	15529	15906	sentence
A0024	sentence	15907	16388	sentence
A0025	sentence	16389	16832	sentence
A0026	sentence	16833	17098	sentence
A0027	sentence	17099	17773	sentence
A0028	sentence	17774	17801	sentence
A0029	sentence	17802	18058	sentence
A0030	sentence	18059	18101	sentence
A0031	sentence	18102	18674	sentence
A0032	sentence	18676	19609	sentence
A0033	sentence	19610	19819	sentence
A0034	sentence	19820	19841	sentence
A0035	sentence	19842	20166	sentence
A0036	sentence	20167	20189	sentence
A0037	sentence	20190	20589	sentence
A0038	sentence	20590	20999	sentence
A0039	sentence	21000	21041	sentence
A0040	sentence	21042	21311	sentence
A0041	sentence	21312	21453	sentence
A0042	sentence	21454	21757	sentence
A0043	sentence	21758	21782	sentence
A0044	sentence	21783	22052	sentence
A0045	sentence	22053	22244	sentence
A0046	sentence	22246	22292	sentence
A0047	sentence	22294	22457	sentence
A0048	sentence	22458	22552	sentence
A0049	sentence	22554	22695	sentence
