anchor_id	kind	start	end	checksum	context_pre	context_post	prev_id	next_id	parent_heading	attributes_json
p000001	p	0	16	3a7444c5fff0b027563db0c849276b8dcaaac3ccc56c82060d38fd97ee83cccf	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bdcc9f24260ae0cc25a973433d361554c08f160bc751fe76ad46d969b431af3f		s000001		{}
s000001	s	0	16	3a7444c5fff0b027563db0c849276b8dcaaac3ccc56c82060d38fd97ee83cccf	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bdcc9f24260ae0cc25a973433d361554c08f160bc751fe76ad46d969b431af3f	p000001	p000002		{}
p000002	p	17	34	46f04de37bcec6ea6ebf06068d162c061bedbc4d5df09ff35e5650e7f8455522	bed5ceb33dfa39c6292cb4953b63e123e8eb82949730535efd120209619aa9d2	c61c1cd18e9328c8862bb6439d38363ed221705ce8313153cbe801967ffb192c	s000001	s000002		{}
s000002	s	17	34	46f04de37bcec6ea6ebf06068d162c061bedbc4d5df09ff35e5650e7f8455522	bed5ceb33dfa39c6292cb4953b63e123e8eb82949730535efd120209619aa9d2	c61c1cd18e9328c8862bb6439d38363ed221705ce8313153cbe801967ffb192c	p000002	p000003		{}
p000003	p	35	47	4d462db5dd7e15402f67c32be58dd8aae8e05983adf50c92217af5503f0e92fa	41425d99d934591f6e357e8c472964e6b7d005dd3322ee7a7d538cd44aebec18	39238f398be901cd3c6282ff25a516c028d87f97c5797b9964513bbc6a19a807	s000002	s000003		{}
s000003	s	35	47	4d462db5dd7e15402f67c32be58dd8aae8e05983adf50c92217af5503f0e92fa	41425d99d934591f6e357e8c472964e6b7d005dd3322ee7a7d538cd44aebec18	39238f398be901cd3c6282ff25a516c028d87f97c5797b9964513bbc6a19a807	p000003	p000004		{}
p000004	h	48	65	6d012cf2b42a6344f9ad485589b303a30cfb343967dc7d82d29da828b6d628a3	5740df79f65f112b2d05be9021c02eb9cd2292adbe4328f6ecaf13afe02d1e36	99363b6ec4b25b424bde39f528fa2a7b274d0e1585846477b729c6690e75459d	s000003	s000004		{}
s000004	s	48	65	6d012cf2b42a6344f9ad485589b303a30cfb343967dc7d82d29da828b6d628a3	5740df79f65f112b2d05be9021c02eb9cd2292adbe4328f6ecaf13afe02d1e36	99363b6ec4b25b424bde39f528fa2a7b274d0e1585846477b729c6690e75459d	p000004	p000005	p000004	{}
p000005	h	66	82	0459588889b26577829963353779bfba4905d64a3ecb66f27b785aa0a71f5363	1a97c572eb0e717fd38d1e3d041f82331bfdd7db4a7a48b4b390299ad0fca771	cf10b8647eb64ba940fe4c90530ec3f6ca53a59c61e135d94e27ec01bb939fe1	s000004	s000005		{}
s000005	s	66	82	0459588889b26577829963353779bfba4905d64a3ecb66f27b785aa0a71f5363	1a97c572eb0e717fd38d1e3d041f82331bfdd7db4a7a48b4b390299ad0fca771	cf10b8647eb64ba940fe4c90530ec3f6ca53a59c61e135d94e27ec01bb939fe1	p000005	p000006	p000005	{}
p000006	p	83	969	af4883e20a0050719d22a96d1b24a1f8f5ceac4a9b6855ba74b447805390df27	bc7c6f5c5a783ac51b875c0c03676018e4513d46ed5428bb44e50ceae1db5d47	773c6444aa4b9caf62c944f26ea1d374d7bd84f4cff0a657129c431f462aa968	s000005	s000006	p000005	{}
s000006	s	83	969	af4883e20a0050719d22a96d1b24a1f8f5ceac4a9b6855ba74b447805390df27	bc7c6f5c5a783ac51b875c0c03676018e4513d46ed5428bb44e50ceae1db5d47	773c6444aa4b9caf62c944f26ea1d374d7bd84f4cff0a657129c431f462aa968	p000006	p000007	p000005	{}
p000007	h	970	990	fc78ec91bac519ce5c61bd34509f4e53c00a44cf5dd784a36b829969d0fc3f52	8baeacf5ccdf5d7fd194a4f790b26028cfcb9e798b7a752e71bc92a1628b2fda	d6bcec3ea7cb54711ef238e558c263b30fbfa595898951db45bd1b9da1a1ff57	s000006	s000007		{}
s000007	s	970	990	fc78ec91bac519ce5c61bd34509f4e53c00a44cf5dd784a36b829969d0fc3f52	8baeacf5ccdf5d7fd194a4f790b26028cfcb9e798b7a752e71bc92a1628b2fda	d6bcec3ea7cb54711ef238e558c263b30fbfa595898951db45bd1b9da1a1ff57	p000007	p000008	p000007	{}
p000008	p	991	1369	9c9d77c4ffc4cc49b2bc0152524a93f9123f4a4b2f31c38a9201e7cb02e4e4ae	06f600bbf0e02cc8f97d8f9702714684d48dbb74a3ec220d0edde71121281b53	04f46bd8e6ca8b61de89ee73ef08dd0f88d41fcf159516004c636664f3a10d88	s000007	s000008	p000007	{}
s000008	s	991	1369	9c9d77c4ffc4cc49b2bc0152524a93f9123f4a4b2f31c38a9201e7cb02e4e4ae	06f600bbf0e02cc8f97d8f9702714684d48dbb74a3ec220d0edde71121281b53	04f46bd8e6ca8b61de89ee73ef08dd0f88d41fcf159516004c636664f3a10d88	p000008	p000009	p000007	{}
p000009	p	1370	1494	990abc56a1d29f896b797b845f24d4c220e3616121a94ad36506ae70e06bc7f3	57e55af19b89a7ad57eab63fc99401c8de298f9bad136413f2977b2344147482	411d9ed6ada547532898e66bd0077ca972d6c98c95c5dbaa53351bd2249015f0	s000008	s000009	p000007	{}
s000009	s	1370	1494	990abc56a1d29f896b797b845f24d4c220e3616121a94ad36506ae70e06bc7f3	57e55af19b89a7ad57eab63fc99401c8de298f9bad136413f2977b2344147482	411d9ed6ada547532898e66bd0077ca972d6c98c95c5dbaa53351bd2249015f0	p000009	p000010	p000007	{}
p000010	p	1495	1725	e8260d5b4ae04cbfec0c7275810d869bf86d372a65c2fdb817bc4b41b8ff7e6c	a7b5d367a914599d19360c99aea1ad59850b7066824095adb67928268878243a	a6800047d05da09578639c9f275949c46492a92b873a1bd4da8c98eae58728ec	s000009	s000010	p000007	{}
s000010	s	1495	1725	e8260d5b4ae04cbfec0c7275810d869bf86d372a65c2fdb817bc4b41b8ff7e6c	a7b5d367a914599d19360c99aea1ad59850b7066824095adb67928268878243a	a6800047d05da09578639c9f275949c46492a92b873a1bd4da8c98eae58728ec	p000010	p000011	p000007	{}
p000011	p	1726	2267	99fa461a49c4c51f5e22e0694b15187a8715edfa3b3cbeb14a5872ccf88e48b8	83345989d6158fd86fc98e89bceebac3f8d86fe72d67593e1b7df644cd7ae52e	6be199c53500f5792b141a8c764f785eadac0fe9a0e5c0f3eb359703a949a8f6	s000010	s000011	p000007	{}
s000011	s	1726	2267	99fa461a49c4c51f5e22e0694b15187a8715edfa3b3cbeb14a5872ccf88e48b8	83345989d6158fd86fc98e89bceebac3f8d86fe72d67593e1b7df644cd7ae52e	6be199c53500f5792b141a8c764f785eadac0fe9a0e5c0f3eb359703a949a8f6	p000011	p000012	p000007	{}
p000012	p	2268	2453	301689ca984835f69bb317d7f9b35ed2ed9fca14c3511636a3b39757c6aa633b	d74361730a3077bd46efcb761dd720a5a03a0903ce5e665a463b44abd1d75cdb	ea73f2fc4e2771981035cc1fff3e15e66e4b7bffe955e6b853e4131a7a9620d4	s000011	s000012	p000007	{}
s000012	s	2268	2270	c977dbe785221d34114d345fdf8ff4e18bb4af66750751dbea29407f9738735f	d74361730a3077bd46efcb761dd720a5a03a0903ce5e665a463b44abd1d75cdb	177c1289df568e6b8abdbcf2c13acb03b8b2e27ef942f4899bb1375806b016bf	p000012	s000013	p000007	{}
s000013	s	2283	2298	ecab1dc6296e1677a5329ad9bafd78baecd50fd671fd59069762cfb6ea7df38c	c93de337205cc04528b07ecb6bf9614e061b80a60118ad9dc6e087d7ecdacea1	45d8d9b07cbe99b578df14db7920e8ce9ece2fa124f311836b82f690ea8aa44c	s000012	s000014	p000007	{}
s000014	s	2299	2453	82251b087d4f66ddeae4b9d8023979f5faf1dd82d87fc1a4e732555ef349084a	526b16db008318cd612f128a134d066bd37032fb8e08310c580595c7a33328e4	ea73f2fc4e2771981035cc1fff3e15e66e4b7bffe955e6b853e4131a7a9620d4	s000013	p000013	p000007	{}
p000013	p	2454	2765	c1f3b54f92c0122e8f809ae959658156a5e56a4f00c2306600e82725bab1c40f	5365712e03526a24ad5970c9e297d7505ed07f4fd5f52199d3512e4901de456d	4a3c97013544e73ea7d6f159943aaa0d7f531434a18990d86126351f38140a11	s000014	s000015	p000007	{}
s000015	s	2454	2765	c1f3b54f92c0122e8f809ae959658156a5e56a4f00c2306600e82725bab1c40f	5365712e03526a24ad5970c9e297d7505ed07f4fd5f52199d3512e4901de456d	4a3c97013544e73ea7d6f159943aaa0d7f531434a18990d86126351f38140a11	p000013	p000014	p000007	{}
p000014	p	2766	2903	58a35dfb2b52b41a099936ae4aad353b5e3e189df22a69d64e5a5b1f9d29b3d1	b16cd21691086cfc81a839e767a84d6de49a16e61803704514d3051ed93acc06	1628c23c7d30992d193fd704638e58a3add357dab39e26a01c19b5869796eb21	s000015	s000016	p000007	{}
s000016	s	2766	2903	58a35dfb2b52b41a099936ae4aad353b5e3e189df22a69d64e5a5b1f9d29b3d1	b16cd21691086cfc81a839e767a84d6de49a16e61803704514d3051ed93acc06	1628c23c7d30992d193fd704638e58a3add357dab39e26a01c19b5869796eb21	p000014	p000015	p000007	{}
p000015	p	2904	3827	084429cd666cd09737365dc5ae307a0ad7efc3f1afe2739419944f128f238a9d	ae5e3eaca595b5fa5e710d81008792b4a6de2d2ae45c90498d98cce8f50adf06	cf9681e657b1864b88ee3c2393217295da81ab4608ce81df7ddcb407456b2db9	s000016	s000017	p000007	{}
s000017	s	2904	2906	6bc54f13bea593dc5e1c8e6b16249e669d1ce99cbeac65f2a10f36e1d86f1fd4	ae5e3eaca595b5fa5e710d81008792b4a6de2d2ae45c90498d98cce8f50adf06	5825a6d6457c25297f74b7a6a78c30eb860a72193d0850ec493b6bdafec8ad27	p000015	s000018	p000007	{}
s000018	s	2919	2930	227d4f656058c45c428803ad0b74fd0b3b06b06cd2ce264ed96454932d476d30	68b4b0c78109706db5200b64476a7908662979a308aca3cbde7fde83bf5c758b	bb8910c4797ecc0d833018da60b4256922d46b8f30ebbf1f1a710af4a6ea89b2	s000017	s000019	p000007	{}
s000019	s	2931	3344	1dbee556a0d2aaec367d0e9f2a73a555b34e35a9a53d4a061353310daff07e0f	8e1b3f55ae4633ee5b3dd127ddc69238a97ca7ab5ab26547a6c7d3658ed3c2d9	d316d967d4081207539593d9812f0971176f671e862b851097158a9077a1921e	s000018	s000020	p000007	{}
s000020	s	3345	3615	b18567e4b333647602499a5deeba68ea2451df9dda34eb45e0db072e32230a41	cd791ae3c68af2d00c45e198c4f3bd1107b87f09aaf7c800cbc55a4bf0d21301	0f319ef5a9031456e3ddacf2d0f6b891b0e13b92abc6fd10913d9d479fed4697	s000019	s000021	p000007	{}
s000021	s	3616	3827	a75553783d88e22eb35a4c43c6d4be00b8ca89d93e1e7fbc6c96839b3a95415c	700259fc06a3e014f8362746f09365459dcdc11d5a6e159b56e335bbe418e0e7	cf9681e657b1864b88ee3c2393217295da81ab4608ce81df7ddcb407456b2db9	s000020	p000016	p000007	{}
