anchor_id	kind	start	end	checksum	context_pre	context_post	prev_id	next_id	parent_heading	attributes_json
p000001	p	0	12	9d37bd08e635e73bdc57417c637a83e55b0532958e8dbca8d1a126543acb69b6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	acd3d658d2241ab08785aa11850fc76d0dc00fd3924d3ed5d5ce89df5b49bdb2		s000001		{}
s000001	s	0	12	9d37bd08e635e73bdc57417c637a83e55b0532958e8dbca8d1a126543acb69b6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	acd3d658d2241ab08785aa11850fc76d0dc00fd3924d3ed5d5ce89df5b49bdb2	p000001	p000002		{}
p000002	p	13	162	60c2bca90c44f5cbf22e4de7908df17a50f0340ab889d2cf56e68a27c447c5d7	f8b0a49f5f4a3998be72f5ee88ccb64a8deb1f5b5e55b4ad999d6b24b1000aa8	beb147ced7edfa7fd814cad5821738aae13b365fb910e6226c9d819cd31b92e8	s000001	s000002		{}
s000002	s	13	161	43b94034e59e967e5df9f2ae211fc114f8862b46342b1a2b80ae7f22bbb17199	f8b0a49f5f4a3998be72f5ee88ccb64a8deb1f5b5e55b4ad999d6b24b1000aa8	8d231bf29fb5481f635cfba151215cc36c477cc324fc71b1cf05908e5aaf8326	p000002	s000003		{}
s000003	s	161	162	cfae0d4248f7142f7b17f826cd7a519280e312577690e957830d23dcf35a3fff	78da75121ac890d272bda02c0c21344091b11818ad9e9ee337576a1b3b821318	beb147ced7edfa7fd814cad5821738aae13b365fb910e6226c9d819cd31b92e8	s000002	p000003		{}
p000003	p	163	209	8c150df8ff31971226811a9db415e6910529f4690f4b12ba7c3eb9b9f61dec77	83d96dab6300737db7e0b1c5a7c43a5a998ad78dca0c63545b44f10b7361f308	67eafb13072fee04bf28f35ae3c81fbd4ffcfbfe3b062cabdf8ff94003d5f1fc	s000003	s000004		{}
s000004	s	163	209	8c150df8ff31971226811a9db415e6910529f4690f4b12ba7c3eb9b9f61dec77	83d96dab6300737db7e0b1c5a7c43a5a998ad78dca0c63545b44f10b7361f308	67eafb13072fee04bf28f35ae3c81fbd4ffcfbfe3b062cabdf8ff94003d5f1fc	p000003	p000004		{}
p000004	h	210	226	e734aa0d9dccffae6bf58ad4af5e0b73e52cd24871a23c6403daba440129d644	6759a0a48bf1fe3993751ef5fae58603a2da458c70db407e2515956906ddc7e9	12765be7db27b1f75cc7cfe3271a93c0102073a2d1347ccee046499efff14d4f	s000004	s000005		{}
s000005	s	210	226	e734aa0d9dccffae6bf58ad4af5e0b73e52cd24871a23c6403daba440129d644	6759a0a48bf1fe3993751ef5fae58603a2da458c70db407e2515956906ddc7e9	12765be7db27b1f75cc7cfe3271a93c0102073a2d1347ccee046499efff14d4f	p000004	p000005	p000004	{}
p000005	p	227	238	a07992be87c61fd72fbcfc63e37e584bd5574d485b69da8e08d19c85a1dff965	b3b5fe084c13e984c45c9ddb7d279924bfa3d86eb9d6b79f1ab06fa65f220217	ee71132317f803f0a8669165d345bb48aee2aba361f5412b80891c889f88e236	s000005	s000006	p000004	{}
s000006	s	227	238	a07992be87c61fd72fbcfc63e37e584bd5574d485b69da8e08d19c85a1dff965	b3b5fe084c13e984c45c9ddb7d279924bfa3d86eb9d6b79f1ab06fa65f220217	ee71132317f803f0a8669165d345bb48aee2aba361f5412b80891c889f88e236	p000005	p000006	p000004	{}
