anchor_id	anchor_type	start	end	label
A0001	sentence	0	12	sentence
A0002	sentence	14	31	sentence
A0003	sentence	33	49	sentence
A0004	sentence	51	622	sentence
A0005	sentence	623	933	sentence
A0006	sentence	935	955	sentence
A0007	sentence	957	1333	sentence
A0008	sentence	1335	1458	sentence
A0009	sentence	1460	1689	sentence
A0010	sentence	1691	2230	sentence
A0011	sentence	2232	2404	sentence
A0012	sentence	2406	2705	sentence
A0013	sentence	2707	2832	sentence
A0014	sentence	2834	3530	sentence
A0015	sentence	3531	3741	sentence
A0016	sentence	3743	3780	sentence
A0017	sentence	3781	4097	sentence
A0018	sentence	4098	5619	sentence
A0019	sentence	5621	5645	sentence
A0020	sentence	5646	6197	sentence
A0021	sentence	6198	6876	sentence
A0022	sentence	6877	6952	sentence
A0023	sentence	6954	6999	sentence
A0024	sentence	7000	7756	sentence
A0025	sentence	7757	8777	sentence
A0026	sentence	8778	9234	sentence
A0027	sentence	9236	9237	sentence
A0028	sentence	9239	9294	sentence
A0029	sentence	9295	9728	sentence
A0030	sentence	9729	10279	sentence
A0031	sentence	10280	10674	sentence
A0032	sentence	10675	11558	sentence
A0033	sentence	11560	11595	sentence
A0034	sentence	11596	12414	sentence
A0035	sentence	12415	12831	sentence
A0036	sentence	12832	13049	sentence
A0037	sentence	13050	13492	sentence
A0038	sentence	13494	13495	sentence
A0039	sentence	13497	13514	sentence
A0040	sentence	13515	13868	sentence
A0041	sentence	13869	14033	sentence
A0042	sentence	14035	14037	sentence
A0043	sentence	14038	14554	sentence
A0044	sentence	14556	14559	sentence
A0045	sentence	14560	14964	sentence
A0046	sentence	14966	14969	sentence
A0047	sentence	14970	15938	sentence
A0048	sentence	15940	15943	sentence
A0049	sentence	15944	16247	sentence
A0050	sentence	16249	16252	sentence
A0051	sentence	16253	16504	sentence
A0052	sentence	16505	16628	sentence
A0053	sentence	16629	16888	sentence
A0054	sentence	16889	17587	sentence
A0055	sentence	17589	17590	sentence
A0056	sentence	17592	17595	sentence
A0057	sentence	17596	18013	sentence
A0058	sentence	18015	18018	sentence
A0059	sentence	18019	18393	sentence
A0060	sentence	18395	18398	sentence
A0061	sentence	18399	18732	sentence
A0062	sentence	18734	19106	sentence
A0063	sentence	19107	19310	sentence
A0064	sentence	19311	19492	sentence
A0065	sentence	19493	19784	sentence
A0066	sentence	19786	19954	sentence
A0067	sentence	19956	19959	sentence
A0068	sentence	19960	20174	sentence
A0069	sentence	20176	20179	sentence
A0070	sentence	20180	20446	sentence
A0071	sentence	20448	20451	sentence
A0072	sentence	20452	20596	sentence
A0073	sentence	20598	20601	sentence
A0074	sentence	20602	20761	sentence
A0075	sentence	20763	21308	sentence
A0076	sentence	21310	21311	sentence
A0077	sentence	21313	21625	sentence
A0078	sentence	21627	21880	sentence
A0079	sentence	21882	22062	sentence
A0080	sentence	22064	22294	sentence
A0081	sentence	22296	22299	sentence
A0082	sentence	22300	22587	sentence
A0083	sentence	22589	22613	sentence
A0084	sentence	22615	22616	sentence
A0085	sentence	22618	22803	sentence
A0086	table	22805	23266	table
A0087	sentence	23268	23304	sentence
