anchor_id	kind	start	end	checksum	context_pre	context_post	prev_id	next_id	parent_heading	attributes_json
s000020	d	10568	10607	b2522c59a86e33d49fae5b431d7823394103e2b431030c468b2db31bd6c6162a	981a7ca7c0bc685a1615e82f8c7b56b133c5d22de1b0e3fbbca6968f67f5e39f	b2bce3b0edef13772bf6d926d1284aac6445a8cfbe966ba2a0a020d4bee41189	s000019	s000021		{}
s000021	d	10608	10860	9635b4a0281bc18906887de5dfdb6b61b7cf9ef29a52c6c3ad2c0cc4747ef264	3ffb6192e3476fd11d7ca454becdd04efa04d6f39cb8b5e5e468f0ba0e592e48	236ed33ec4c0d759b10bc0780a872a0fe3a7c957b5402938672fcb7ecd2dc823	s000020	s000022		{}
s000022	d	10861	11649	ad1a8d71c0465ea339fea66eda45470dddcae9d3a38ab378c0d7bfddb561556f	dbdb343d2d4b75b34126589907bb6c6488212f6a28ee00ccbf7eb25d33128e03	fbc95cdc7c95ea54f9ef292411bb915db1775d4b6fc73f9598415ce5c81b6920	s000021	s000023		{}
s000023	s	11650	11732	e43cfb1b19287a39b355f7af5b009fb4b8907835496912a4d0b939a7e067cd39	a71f1f3b835eec19a3a4f230f77913c9a379a3060f199cf184e53c2944e8db30	3e05c8eb2ed4d8ef1c51edc0a6efb7fb837bc06d3bd00ce9d1e09a81fd7d9a9a	s000022	s000024		{}
s000024	s	11733	11811	e0845d9d0bec619ce035936a6c32a686f1ce884a940c703a7ff1590a08d01eab	e3567c8651b35e9d9c3610c8d59f60cb83236d61b3ab7bc899c86b26fb6e6a87	b9b9a45b8f9896af6ef6720bda404c9bb7f3ed820d85fd603880850e9c93a8e0	s000023	s000025		{}
s000025	s	11812	11888	d372a7b0be7b8fc00b080f1a1d6a399a28bb4029bea21fedb74ca5e85868dc80	3e05c8eb2ed4d8ef1c51edc0a6efb7fb837bc06d3bd00ce9d1e09a81fd7d9a9a	891f48d25c7c2cc3b3d1a65b9a891326bfeab6faaaa9c878d148ace5911fe3a8	s000024	s000026		{}
s000026	s	11889	12292	df4f8e91e790b8c46b1c1fc45e30b582289b254454c78c70b48f727e85548260	e07db99510bbc9b09c791b2b5793799b9c4ce4bc7c332e8c1a00ce9a45568863	16df1ee765532adac72855319f79b3905647f0fc4aeb6a604122125439c5f070	s000025	s000027		{}
s000027	s	12293	12374	82851341744a25df28dfb9959684b6c7a18c7f019c3f1865a81aacc3e2a27aae	06a181f61f6cfdb70da5020f5daf8c2cb0eb1c30364cfd6e518e531a036eca72	a8e0d2304c27ee8904da47091c7011d1497a02b478404081af12fdb9dde63ed8	s000026	s000028		{}
s000028	s	12375	12464	35294c81b51926ee95fb76deeea5822bdcd8fc72995081e21a6b085b4721f52b	b3497a62189fffb308a8bbc328f8a8b7d3eb4b87a95a3540638d68619b24a4fb	58200dec5a354d70d4f72a8c8f6096c23ab24f764b2ca65e3c6a62ee9f9eaf5b	s000027	s000029		{}
s000029	s	12465	12673	11273c9233e55b5dd05c609a28637ae110753bfe7ab63f56f53b259ef6e349f3	899299227469bd1396cbb940e655f1097904daa3caab46ddfa34867f43eb2991	b5d005ef0e5b637dafb5a01e2a0854452bcbb9e867ddd58046eabec6d2710053	s000028	s000030		{}
s000030	s	12674	14514	ce7480a8ab01e8de31ffede2ca6f46c204fa9892928c077c0153d67a1e6799a1	646e29f91f3914086ce21215d855445cdb21b1694b180dfc64fd636df64a9714	7090dfab8eca392f6766d1facda93cc9b5416195004aacabbdc6b8fecd3e7748	s000029	s000031		{}
s000031	s	14515	14949	c43314c5f9a7434c4ccf58f66b2b0834d87a63fd16f8e89c8cc1e72def750f4a	f99c43d11dfcd17883e6465e9645a53170c6c998c5103fbba6afb5e802ab9230	96380efebd51fd5a9552462f7891dce5ee9fc731ef5858d8bcf8b92bc76f0a12	s000030	s000032		{}
s000032	d	14950	15420	2dcf8c464e827b5a25b370551b88f32c764cf2b4d00d6042b03c8779e2a3f072	1fd20617c63dc33fae0309f65ce9fe6a9258a70bf0e942d54f909e553bfb355e	7cf0908172abcf94b43b204438de2a35401ffe90de6e1c3acedeaa54f4f2b70b	s000031	s000033		{}
s000033	d	15421	16058	22899cc9f817ccbb9b81d854f6618e5fd931241828734842d22f696c8727a2c2	166d0f2e707932519bc132645715be124f2d4794268fe9479beb0936820ffe22	f236e8be51abcd907c245d4421ab52906f5b37c26c634235e905068381b96e2e	s000032	s000034		{}
s000034	d	16059	16344	24d1a3cf47a25bd3b2be2fd00cf5382b564ea717dbcac93d0f45c8e126ebd8d6	daf044222fcde9bf05a4f41a6d0a59c7135162a133e36e0b3d28c5593f6edb35	f8922397a3035c2158ccb6302ab6dc8a53dc38e4f6d5cf1202b81c0c952aabae	s000033	s000035		{}
s000035	s	16345	17480	dc8d1056a8adfc790cb9c46e0e26ff858e9b44c523e1e2f46e6d5d0e974d2b09	41b31bafcc31604b43ed2185f732e816d9cfd82f246e31c136ad6df90267a0c1	93434a8828c99c70a1826aff8fd98e7e84daa06026d17382081ba07d1a29e727	s000034	s000036		{}
s000036	s	17481	17902	11da44b1d5fd082fa55840a825c113dcefecf1d481cfd11097ac185147671eaf	1d287b23da98d483f3b3a7cc1827e834777f28ddf0527f794fa80b745ed922fb	af7337a6b117c151b07aed6fe69bb000c23b7e8b478ad76a726c696870b4385f	s000035	s000037		{}
s000037	d	17903	18376	a47842363e9c31dc9b7f378360d41a0918f8c11aab8c54153245fc61099c37be	f31540d6b620bfe1508d55eda3446b2c8c5dcb75b17cac5ea01c4d4b7ac63fba	2a0aeb1aae70932104d002adf99403cb73ec9b742e76ea41b6ea82cee93bda27	s000036	s000038		{}
s000038	d	18377	18473	f2610d86e830b4831999dd352870c735fad8e18abd46069c2ac34e406b194678	7847d4b90601452d490fdaae32f2050f56357c77efcd626370642c687bab2acf	230ce812f80a0b77e4b36cc73673c957cd61d10e70036ee2dbe308625f60c32c	s000037	s000039		{}
s000039	s	18474	18757	ccec63471278a7a3252774b67cd292ceb1d89c8eabfd2b2152b2db2339213333	812dd8f846e7c4602ce91d38a6df912afadc1970f7f36ed81604308b8f71a817	fe425aab159341f076f4e60df5c4546cbed4447c4f9ee8e15b8cb1ddb590632b	s000038	s000040		{}
s000040	d	18758	18843	56f6a4ef402021a1018ef33ff743162960686c2a59366a60259e1737addc25bb	766837bb6fa0da8a34661f34bb330988bc4ebbeb203dfabcfaf5e2f11bb5e90b	9996a76a5de0421483118c03fd6814824b4f9cab467aaccc2f6ebff9624e37f9	s000039	s000041		{}
s000041	d	18844	19033	302bc47d3477b5dfc8f19c5b2a927c4c5ba1844e82eefeea6db8f1cc9eafe8be	44e9bd730868d5e395b45c2c7355ae266fc5875ff009eebe745fd2a53e0d9412	e23b1462bd0a9f83231fb705648dda7e2c9b288bac55bbaf3af9c26c1ca48895	s000040	s000042		{}
s000042	d	19034	20136	d477716c679c976727b838f414ca66ceaa0cbd429e375ab44761639a7cf94677	0c7e796a544c581f2c820ab167412cc7e829c1afd3a3cc7e4d0ef401d69c847d	b4baec0166c1b356c62eb0a2fc46cb3df35cf25c0256b2f4638b5bf55426bafb	s000041	s000043		{}
s000043	s	20137	20306	f0a0c70e9dbdfbee0d3cfc5f6bed4a6832cceb05d2ed8d4fc3c4ff1beab2272d	b9b0b42222d9bfd2d454995c88a233dc5aa1da6ed55797e5c3e1e636ea81ee21	d3396270e572619623a7e6774f800af574867b163e81be0b698777401c0d2dd6	s000042	s000044		{}
s000044	s	20307	21351	3308f1e134ef4b78b44eeac8c24f12d2fa9da3ad1fa1f05d68f5c574deab8195	f6778ab5b26368dc58eaa4f3c31b8a88e343eb1a3bce2bbf9397694760841532	57b69766c98111aa33cc623135da77d4502dfea2514a161e5552375b8bf83b03	s000043	s000045		{}
s000045	d	21352	21578	47c264a3d4a21ca54a1025c9a9cdeea70266b631a7cc468805cf1bb012536b7d	e0a962c25ce3927b6ffdf94987db2e825622277f22c91834bded71f2244bfe87	ded2d4f84c167cbae931523582ab42316f9a9d844779bd6a3abe450389746a89	s000044	s000046		{}
s000046	s	21579	22496	52583b0198137857906e86137e028f6a80f54ac6ba40b55252a215daa924feb6	ebd198f1d5a26e609ad3675097bd8684e2f57fd75450897b53a96315f2a5a1ec	bd6f824c5c6c8c3c3ea7355b70c3d8f3a641993e4f97a62ec7294e810eab072d	s000045	s000047		{}
s000047	s	22497	22565	9a9ec20221d6974b230d5de667d046aa36250b68746602775fb6b2635835b31d	c0f7ac9c65d31678d1d4f47ccd70a96d8a1f9f0edd6c42a04a54e02242a62899	163217449573b22a702ca699d0ea6b67fe1c261b684c835146ebada86fdc16c2	s000046	s000048		{}
s000048	d	22566	22831	bc962b9e3724ea88b94322e9177f2a2e3aea3debae4342e0a26db03d8ec60fdb	f6c162b356fd86c54f3efdee21f68f236823fa084ad3c52ff95647c7c7a5b95a	e7d87051de6bc0435ad0703779d1e28d6ccc4b93c94a5b9ecaf6804574aedf0b	s000047	s000049		{}
s000049	s	22832	23445	9301f7d7bc8c8c680b5649825499847aba4e6307cbb2765fe31f0c9c327daa30	9fb1ecf6908e0b12878475d5a906491d28507a6c8563a2218d8f51d7417affbd	fcbc3acdfc5ebac2b17b73b18a573951e1131aef83421c13ed6e743ea67a9147	s000048	s000050		{}
s000050	d	23446	23671	0a04fda2b6be3abf22e0067ac124879e0cec01f7eaf67ea14378b59eb3eb7de4	833fe5b3cff06083540592bf5d0fffc36da7a0cd2f771245a1289ea72586d51c	1764606f1021850fb43b0c81b8ac348fad6bab04877b3904ebf2836e109582a1	s000049	s000051		{}
s000051	d	23672	23726	047f2318db978c1dc0a3b7925daf9a0e63164ffc8dae93a228e2a7ba60ad18f0	40f583f8ae1cf6babcceaacb1e7a794d884de3deef5d5843743bb0f10974d1e8	b0d30a0a236d67aa4b815d0461e331b88a7ed9b3de2304969431ec9cb5e709ec	s000050	s000052		{}
s000052	d	23727	25903	5a2b7d9f7a4a6dcfe4ef02ee07a2e368a5983402d92e90853be488bec379d2b2	77d762ff5250771c16eaf8c0d9b3fe39c499c736b6a360da352cbd6c80fbffa1	af206a6f3db9d0697332ff831e51c974ef61aefb400b667f9095bfc921317021	s000051	s000053		{}
s000053	d	25904	26953	9115d875fb24c640cb5b19f1159ba916fa4d8a11eb8570a01e08e9518b67af3d	ee414db963d55764ed8c8d39c2bb2a5935ce23b006b5cdbfc418a190b4cd33db	c8bdbf0ba03d35f8fda81052bd70a84cf777b22a8b3bff88eef01eccbef1dd38	s000052	s000054		{}
s000054	d	26954	27092	ef3eb73d823d0108ee109bf03175ceda472bd870b99cabcf9a7052423029954a	dc0bf41e464830d48624d34b210deefec59dc6759c5fdae592794c0924e6bc6d	0e003fb88e0bb3d853230e2389e6df9eae8d3823c5881132186283f325eae8b2	s000053	s000055		{}
s000055	d	27093	27183	09ad17347b7461b6be309be36a6fb2c88bea12bcfc096ce13e96dabd6be61a03	f357a4b9269f5d2dd701d127b248061003f85865f81f831a054acb6d76184a21	14f7c6ab979bccb2e1c16a59b71c46ce5aa000a4b578bf23e1e9183935955131	s000054	s000056		{}
s000056	s	27184	27455	8305d27e77a4313b1132f79cf061a4de8342ee79acd2e26bb4ddc068bd68eb3e	086ecb2388b519f6a3ea71edd3a000a0ed937238f753cff4db080a8db4b87796	6b6c7948ef64f07f11ca78cfae851da9737b49be563659774a897f62e40dc261	s000055	s000057		{}
s000057	d	27456	28171	b8bbf9d2ab4162fdd72628ba9b0c6c8118f6b025c5ddf5089d0730da2cd0d6e1	8ba418f4ad4075dcd199819cf4974a10387c3c6890a8457a5789756dca9efdcf	b9b9dece9ee8646901aa58ee9f8abb5332a350cbfcaa0bb4e6740d8d3706f163	s000056	s000058		{}
s000058	d	28172	28519	e6b3b24581333f99dba47c8479edd677f77b9b094c1d055745adbd3e49740703	105386485274402ed4c5cff14dd19ad377b22b89c761f3c3c03d16589925dc64	6d1448454a6de521c128384b7805b3bcd9c3bb25e8228f6aad18d0fbcd13773e	s000057	s000059		{}
s000059	s	28520	28606	ccf45081ab5dcec2d0c3c83c80d89434eddc58588ac658bc96c69c7aba4636d2	8a51cfeca107bb794a8e8e1d9927536fec30b5584a8b07ee23898a037af080e7	7c712bd2fefb7ef92bd611881be2fa1262d0624497cb096ac18039d206b4a661	s000058	s000060		{}
s000060	d	28607	28902	45b0b2b925c7193df1342f00cfe118d949c0567bcc5b80e1c4983caa233d2da2	f445045375f33634517cdfecca0aa8e232e5c881dc34465675376b5ea5cbd2ab	d2d9416ba839a1d498824d399318b0e5f826d9b8766d875ea88c9421fa7a0fc7	s000059	s000061		{}
s000061	s	28903	28985	843a0db0f488886733fd32a4a82dadb39632756ef78787dc2c1af2beb3d65840	c4523df72c185fcd2cff4191d3f9def7b8b32b754e75b6ec729728f267a30d76	59863312f8a60426eb4fc8ec640ebee40478a61d00287fc7dd17076cf2ed7879	s000060	s000062		{}
s000062	d	28986	29175	07ea0c24d7540f357ca6069a444a598b2728a1beaa517c22c23050fa0e095b49	322639d2fbbc50a79a5708ae9b8b732850f9064c2e37873ed32a860e2e09ea56	aec00fa233001771f05f3f2248dc540184cf6713e2d5d1544f7fbccc13e2e10f	s000061	s000063		{}
s000063	d	29176	29334	15063693e845ebb89907e22c9d1d4031a74ce36e62362710dadb47db7b73d9c0	f6b7f2a78d69435dee8b18c0fa81a33465bb8b045366b2c7ff3c2e63947abf98	d94d5927a260b0536da92f42b981c144a0b47fb3da7beafc189ec923b8e7b4be	s000062	s000064		{}
s000064	s	29335	29817	90b17b28348b445a35796c42e34413751a0a9d0be2321ee7348913ea0a5dd623	381ac38d677258eede10eddc5cacff27c46f18195617a647ff497309707f5c2d	67ac81a4ad2b21b8ebd63daa863c949c6effe87ad9fb3bf750e959a1dc440e53	s000063	s000065		{}
s000065	d	29818	29870	8c4442e8e6701440d0f6657e082c2bf681d2f1eea54dfd2e292102704581b833	95f1bbe2bb3de3d014e2ae4de7d7d23ee0309e6b2c5ee51f1e6c0315cbb34812	ee730da8a9d50b670aabe14696eac8cf1cba4cba22f2a7a0fe4d445ac3706fe1	s000064	s000066		{}
s000066	d	29871	30401	aace56fffb65f6955782ebc2044a9286009b236848160a7c954cad40314c34a9	415ff11f00ed411a911975b3e0939d132be1ab9b61b47514c89361d060f3a269	f36fdf39410aaa0440896f3306e3c963a045af7c730231566b40e827e183a2cb	s000065	s000067		{}
