anchor_id	anchor_type	start	end	label
A0001	sentence	0	24	sentence
A0002	sentence	26	402	sentence
A0003	sentence	403	2057	sentence
A0004	sentence	2058	2813	sentence
A0005	sentence	2814	2863	sentence
A0006	sentence	2864	3621	sentence
A0007	sentence	3622	3889	sentence
A0008	sentence	3890	3930	sentence
A0009	sentence	3931	4220	sentence
A0010	sentence	4221	4494	sentence
A0011	sentence	4495	4973	sentence
A0012	sentence	4974	5408	sentence
A0013	sentence	5409	5431	sentence
A0014	sentence	5432	5713	sentence
A0015	sentence	5714	6113	sentence
A0016	sentence	6114	6165	sentence
A0017	sentence	6166	6817	sentence
A0018	sentence	6818	7137	sentence
A0019	sentence	7139	7740	sentence
A0020	sentence	7741	8099	sentence
A0021	sentence	8100	8145	sentence
A0022	sentence	8146	9387	sentence
A0023	sentence	9388	9412	sentence
A0024	sentence	9413	9719	sentence
A0025	sentence	9720	9902	sentence
A0026	sentence	9903	10785	sentence
A0027	sentence	10786	10881	sentence
A0028	sentence	10882	11281	sentence
A0029	sentence	11282	11791	sentence
A0030	sentence	11792	13045	sentence
A0031	sentence	13046	14975	sentence
A0032	sentence	14976	15511	sentence
A0033	sentence	15513	15545	sentence
A0034	sentence	15546	15933	sentence
A0035	sentence	15934	16190	sentence
A0036	sentence	16191	16581	sentence
A0037	sentence	16582	16788	sentence
A0038	sentence	16789	19572	sentence
A0039	sentence	19573	20353	sentence
A0040	sentence	20354	20365	sentence
A0041	sentence	20366	20378	sentence
A0042	sentence	20379	20674	sentence
A0043	sentence	20675	21151	sentence
A0044	sentence	21152	21163	sentence
A0045	sentence	21164	21178	sentence
A0046	sentence	21179	21297	sentence
A0047	sentence	21298	21309	sentence
A0048	sentence	21310	21331	sentence
A0049	sentence	21332	21680	sentence
A0050	sentence	21682	21887	sentence
A0051	sentence	21888	22273	sentence
A0052	sentence	22275	22307	sentence
A0053	sentence	22308	22822	sentence
A0054	sentence	22824	23102	sentence
A0055	sentence	23104	24191	sentence
A0056	sentence	24192	24306	sentence
A0057	sentence	24307	24538	sentence
A0058	sentence	24539	24663	sentence
A0059	sentence	24664	24765	sentence
A0060	sentence	24766	24885	sentence
A0061	sentence	24886	25110	sentence
A0062	sentence	25111	25348	sentence
A0063	sentence	25349	25549	sentence
A0064	sentence	25550	25666	sentence
A0065	sentence	25667	25955	sentence
A0066	sentence	25956	26074	sentence
A0067	sentence	26075	26186	sentence
A0068	sentence	26187	26389	sentence
A0069	sentence	26390	26483	sentence
A0070	sentence	26484	26680	sentence
A0071	sentence	26681	26905	sentence
A0072	sentence	26906	27016	sentence
A0073	sentence	27017	27242	sentence
A0074	sentence	27243	27482	sentence
A0075	sentence	27483	27584	sentence
A0076	sentence	27586	27660	sentence
A0077	sentence	27661	27891	sentence
A0078	sentence	27892	27998	sentence
A0079	sentence	27999	28101	sentence
A0080	sentence	28102	28206	sentence
A0081	sentence	28207	28318	sentence
A0082	sentence	28319	28424	sentence
A0083	sentence	28425	28542	sentence
A0084	sentence	28543	28645	sentence
A0085	sentence	28646	28763	sentence
A0086	sentence	28764	28881	sentence
A0087	sentence	28882	28995	sentence
