anchor_id	anchor_type	start	end	label
A0001	sentence	0	12	sentence
A0002	sentence	14	39	sentence
A0003	sentence	41	74	sentence
A0004	sentence	76	92	sentence
A0005	sentence	94	113	sentence
A0006	sentence	115	130	sentence
A0007	sentence	132	146	sentence
A0008	sentence	148	326	sentence
A0009	sentence	327	397	sentence
A0010	table	399	2032	table
A0011	table	2034	3157	table
A0012	sentence	3159	3208	sentence
A0013	sentence	3209	3337	sentence
A0014	sentence	3338	3400	sentence
A0015	sentence	3401	3510	sentence
A0016	sentence	3512	3522	sentence
A0017	sentence	3524	3540	sentence
A0018	sentence	3542	3565	sentence
A0019	sentence	3567	3603	sentence
A0020	sentence	3605	3621	sentence
