anchor_id	anchor_type	start	end	label
A0001	sentence	0	596	sentence
A0002	sentence	597	828	sentence
A0003	sentence	829	1246	sentence
A0004	sentence	1247	1577	sentence
A0005	sentence	1578	1704	sentence
A0006	table	1706	1920	table
A0007	sentence	1922	2189	sentence
A0008	sentence	2190	2314	sentence
A0009	sentence	2315	2546	sentence
A0010	table	2548	2757	table
A0011	sentence	2759	2911	sentence
A0012	sentence	2912	3237	sentence
A0013	sentence	3238	3611	sentence
A0014	sentence	3612	3809	sentence
A0015	sentence	3810	3994	sentence
A0016	sentence	3995	4266	sentence
A0017	sentence	4267	4375	sentence
A0018	sentence	4376	4448	sentence
A0019	sentence	4449	4659	sentence
A0020	sentence	4660	5112	sentence
A0021	sentence	5113	5388	sentence
A0022	sentence	5389	5539	sentence
A0023	sentence	5540	5636	sentence
A0024	sentence	5637	5689	sentence
A0025	sentence	5690	5917	sentence
