anchor_id	anchor_type	start	end	label
A0001	sentence	0	7	sentence
A0002	sentence	9	21	sentence
A0003	sentence	23	52	sentence
A0004	sentence	54	104	sentence
A0005	sentence	106	157	sentence
A0006	sentence	159	870	sentence
A0007	sentence	871	980	sentence
A0008	table	982	1554	table
A0009	sentence	1556	1744	sentence
A0010	sentence	1745	2023	sentence
A0011	sentence	2024	2285	sentence
A0012	table	2287	2501	table
A0013	table	2503	2723	table
A0014	sentence	2725	2781	sentence
A0015	sentence	2783	2803	sentence
A0016	table	2805	3581	table
A0017	table	3583	3643	table
A0018	table	3645	4041	table
A0019	table	4043	4433	table
A0020	table	4435	5089	table
A0021	table	5091	5972	table
A0022	table	5974	6222	table
A0023	table	6224	6432	table
A0024	table	6434	6811	table
A0025	table	6813	7586	table
A0026	table	7588	7837	table
A0027	table	7839	9302	table
A0028	table	9304	10551	table
A0029	table	10553	11813	table
A0030	table	11815	12275	table
A0031	table	12277	12499	table
A0032	table	12501	13138	table
A0033	table	13140	13564	table
A0034	table	13566	14505	table
A0035	table	14507	14986	table
A0036	table	14988	15356	table
A0037	table	15358	16295	table
