anchor_id	anchor_type	start	end	label
A0001	sentence	0	14	sentence
A0002	sentence	16	783	sentence
A0003	sentence	784	959	sentence
A0004	sentence	961	990	sentence
A0005	sentence	992	1023	sentence
A0006	sentence	1025	1050	sentence
A0007	sentence	1052	1107	sentence
A0008	sentence	1109	1942	sentence
A0009	sentence	1943	2159	sentence
A0010	sentence	2161	2336	sentence
A0011	sentence	2337	3972	sentence
A0012	table	3974	4008	table
A0013	sentence	4010	4034	sentence
A0014	sentence	4036	4383	sentence
A0015	sentence	4384	4490	sentence
A0016	sentence	4491	4788	sentence
A0017	sentence	4789	6192	sentence
A0018	sentence	6193	6816	sentence
A0019	sentence	6818	7314	sentence
A0020	sentence	7316	8298	sentence
A0021	sentence	8300	8311	sentence
A0022	sentence	8313	8314	sentence
A0023	table	8316	8720	table
A0024	table	8722	8756	table
A0025	sentence	8758	8907	sentence
A0026	sentence	8908	9108	sentence
A0027	sentence	9109	9445	sentence
A0028	sentence	9447	11005	sentence
A0029	sentence	11006	11373	sentence
A0030	sentence	11374	11574	sentence
A0031	sentence	11575	12063	sentence
A0032	sentence	12064	12250	sentence
A0033	sentence	12251	12582	sentence
A0034	sentence	12583	12744	sentence
A0035	sentence	12745	12839	sentence
A0036	table	12841	12875	table
A0037	sentence	12877	14593	sentence
A0038	sentence	14594	15010	sentence
A0039	sentence	15011	15203	sentence
A0040	sentence	15204	15562	sentence
A0041	sentence	15564	15680	sentence
A0042	sentence	15682	15710	sentence
A0043	sentence	15711	16211	sentence
A0044	sentence	16213	17004	sentence
A0045	sentence	17006	18444	sentence
A0046	table	18446	18480	table
A0047	sentence	18482	20788	sentence
A0048	sentence	20789	22091	sentence
A0049	sentence	22092	22526	sentence
A0050	sentence	22527	23092	sentence
A0051	sentence	23094	23540	sentence
A0052	sentence	23541	23921	sentence
A0053	sentence	23922	24070	sentence
A0054	sentence	24071	24173	sentence
A0055	sentence	24174	24277	sentence
A0056	table	24279	24313	table
A0057	sentence	24315	26464	sentence
A0058	sentence	26465	26763	sentence
A0059	sentence	26764	27050	sentence
A0060	sentence	27052	27599	sentence
A0061	sentence	27600	28366	sentence
A0062	sentence	28368	28593	sentence
A0063	sentence	28594	28894	sentence
A0064	sentence	28896	28911	sentence
A0065	sentence	28913	29288	sentence
A0066	table	29290	29324	table
A0067	sentence	29326	29628	sentence
A0068	sentence	29630	29802	sentence
A0069	sentence	29803	30511	sentence
A0070	sentence	30513	30724	sentence
A0071	sentence	30725	31614	sentence
A0072	sentence	31616	31842	sentence
A0073	sentence	31844	31847	sentence
A0074	sentence	31848	32023	sentence
A0075	sentence	32024	32256	sentence
A0076	sentence	32257	32910	sentence
A0077	sentence	32911	33254	sentence
A0078	sentence	33255	33417	sentence
A0079	sentence	33418	33964	sentence
A0080	sentence	33965	34090	sentence
A0081	table	34092	34126	table
A0082	sentence	34128	34131	sentence
A0083	sentence	34132	34280	sentence
A0084	sentence	34282	34285	sentence
A0085	sentence	34286	34392	sentence
A0086	sentence	34394	34420	sentence
A0087	sentence	34422	35501	sentence
A0088	sentence	35502	35753	sentence
A0089	sentence	35754	35932	sentence
A0090	sentence	35934	36107	sentence
A0091	sentence	36109	36492	sentence
A0092	sentence	36494	36520	sentence
A0093	sentence	36522	36770	sentence
A0094	sentence	36772	37082	sentence
A0095	sentence	37084	37252	sentence
A0096	sentence	37254	37477	sentence
A0097	sentence	37479	37492	sentence
A0098	table	37494	37528	table
A0099	sentence	37530	37646	sentence
A0100	table	37648	37813	table
A0101	table	37815	37847	table
A0102	sentence	37849	37858	sentence
A0103	sentence	37860	37875	sentence
A0104	sentence	37877	37965	sentence
A0105	sentence	37967	38364	sentence
A0106	table	38366	38520	table
A0107	table	38522	38689	table
A0108	table	38691	38954	table
A0109	table	38956	39144	table
A0110	table	39146	39208	table
A0111	table	39210	39349	table
A0112	table	39351	39383	table
A0113	sentence	39385	39394	sentence
A0114	sentence	39396	39417	sentence
A0115	sentence	39419	39478	sentence
A0116	sentence	39480	39582	sentence
A0117	sentence	39584	39915	sentence
A0118	sentence	39916	40048	sentence
A0119	table	40050	40310	table
A0120	sentence	40312	40527	sentence
A0121	sentence	40528	40668	sentence
A0122	table	40670	40702	table
