anchor_id	anchor_type	start	end	label
A0001	sentence	0	12	sentence
A0002	table	14	620	table
A0003	sentence	622	835	sentence
A0004	sentence	836	1259	sentence
A0005	sentence	1260	1458	sentence
A0006	sentence	1460	1780	sentence
A0007	sentence	1782	2086	sentence
A0008	sentence	2087	2190	sentence
A0009	sentence	2191	2656	sentence
A0010	sentence	2658	3045	sentence
A0011	sentence	3047	3587	sentence
A0012	sentence	3589	3679	sentence
A0013	sentence	3681	3694	sentence
A0014	table	3696	3973	table
A0015	table	3975	6850	table
A0016	table	6852	10224	table
A0017	table	10226	12751	table
A0018	table	12753	16395	table
A0019	table	16397	20405	table
A0020	table	20407	24042	table
A0021	table	24044	29403	table
A0022	table	29405	31292	table
A0023	table	31294	35268	table
A0024	table	35270	37027	table
A0025	table	37029	37348	table
A0026	sentence	37350	37391	sentence
A0027	table	37393	37751	table
A0028	table	37753	38590	table
A0029	table	38592	38946	table
A0030	table	38948	39134	table
A0031	table	39136	39363	table
A0032	table	39365	39634	table
A0033	table	39636	40085	table
A0034	table	40087	40358	table
A0035	table	40360	40789	table
A0036	table	40791	41165	table
A0037	table	41167	41349	table
A0038	table	41351	41548	table
A0039	table	41550	41897	table
A0040	table	41899	42973	table
A0041	table	42975	43697	table
A0042	table	43699	44205	table
A0043	table	44207	45080	table
A0044	table	45082	45292	table
A0045	table	45294	46322	table
A0046	table	46324	46863	table
A0047	table	46865	47076	table
A0048	table	47078	48146	table
A0049	table	48148	48897	table
A0050	table	48899	51009	table
A0051	table	51011	51545	table
A0052	table	51547	51759	table
A0053	table	51761	52560	table
A0054	sentence	52562	52598	sentence
A0055	table	52600	53225	table
A0056	table	53227	53689	table
A0057	sentence	53691	53706	sentence
A0058	sentence	53708	54423	sentence
A0059	sentence	54425	54472	sentence
A0060	sentence	54474	55264	sentence
A0061	sentence	55266	55285	sentence
A0062	sentence	55287	55305	sentence
A0063	sentence	55307	55334	sentence
A0064	sentence	55336	55356	sentence
A0065	sentence	55358	55388	sentence
A0066	sentence	55390	55405	sentence
A0067	sentence	55407	55425	sentence
A0068	sentence	55427	55457	sentence
A0069	sentence	55459	55487	sentence
A0070	sentence	55489	55517	sentence
A0071	sentence	55519	55556	sentence
A0072	sentence	55558	55581	sentence
A0073	sentence	55583	55623	sentence
A0074	sentence	55625	55643	sentence
A0075	sentence	55645	55665	sentence
A0076	sentence	55667	55693	sentence
A0077	sentence	55695	55722	sentence
A0078	sentence	55724	55739	sentence
A0079	sentence	55741	55792	sentence
A0080	sentence	55794	55814	sentence
A0081	sentence	55816	55832	sentence
A0082	sentence	55834	55855	sentence
A0083	sentence	55857	55882	sentence
A0084	sentence	55884	55902	sentence
A0085	sentence	55904	55939	sentence
A0086	sentence	55941	55946	sentence
A0087	sentence	55947	55968	sentence
A0088	sentence	55970	55991	sentence
A0089	sentence	55993	56021	sentence
A0090	sentence	56023	56050	sentence
A0091	sentence	56052	56068	sentence
A0092	sentence	56070	56090	sentence
A0093	sentence	56092	56107	sentence
A0094	sentence	56109	56125	sentence
A0095	sentence	56127	56160	sentence
A0096	sentence	56162	56193	sentence
A0097	sentence	56195	56212	sentence
A0098	table	56214	56271	table
A0099	table	56273	57047	table
A0100	table	57049	57656	table
A0101	table	57658	58582	table
A0102	table	58584	62932	table
A0103	table	62934	64941	table
A0104	sentence	64943	65626	sentence
A0105	sentence	65628	66067	sentence
A0106	sentence	66069	66118	sentence
A0107	table	66120	70891	table
A0108	table	70893	70972	table
A0109	table	70974	71462	table
A0110	table	71464	71856	table
A0111	table	71858	72548	table
A0112	table	72550	72975	table
A0113	table	72977	73475	table
A0114	table	73477	75101	table
A0115	table	75103	75215	table
A0116	sentence	75217	75259	sentence
A0117	sentence	75261	75310	sentence
A0118	sentence	75312	75336	sentence
A0119	sentence	75338	75513	sentence
A0120	table	75515	75826	table
A0121	table	75828	76087	table
A0122	table	76089	76307	table
A0123	sentence	76309	76319	sentence
A0124	sentence	76321	76348	sentence
A0125	sentence	76350	76365	sentence
A0126	sentence	76367	76428	sentence
A0127	sentence	76430	76479	sentence
A0128	sentence	76481	76502	sentence
A0129	sentence	76504	76656	sentence
A0130	sentence	76658	76700	sentence
A0131	sentence	76702	76967	sentence
A0132	sentence	76968	77080	sentence
A0133	sentence	77082	77261	sentence
A0134	sentence	77263	77286	sentence
A0135	sentence	77288	77318	sentence
