anchor_id	anchor_type	start	end	label
A0001	sentence	0	24	sentence
A0002	sentence	26	1873	sentence
A0003	sentence	1874	2139	sentence
A0004	sentence	2140	2744	sentence
A0005	sentence	2746	2788	sentence
A0006	sentence	2789	3697	sentence
A0007	sentence	3698	3783	sentence
A0008	sentence	3784	4025	sentence
A0009	sentence	4026	4679	sentence
A0010	sentence	4680	5020	sentence
A0011	sentence	5021	5622	sentence
A0012	sentence	5623	5827	sentence
A0013	sentence	5829	5866	sentence
A0014	sentence	5867	5992	sentence
A0015	sentence	5993	6119	sentence
A0016	sentence	6120	6471	sentence
A0017	sentence	6472	7097	sentence
A0018	sentence	7098	7766	sentence
A0019	sentence	7767	8110	sentence
A0020	sentence	8111	9483	sentence
A0021	sentence	9484	9581	sentence
A0022	sentence	9583	11089	sentence
A0023	sentence	11090	13182	sentence
A0024	sentence	13184	13662	sentence
A0025	sentence	13663	16199	sentence
A0026	sentence	16201	17617	sentence
A0027	sentence	17618	18007	sentence
A0028	sentence	18008	18457	sentence
A0029	sentence	18458	18898	sentence
A0030	sentence	18899	18923	sentence
A0031	sentence	18924	19186	sentence
A0032	sentence	19188	19202	sentence
A0033	sentence	19203	19891	sentence
A0034	sentence	19892	19922	sentence
A0035	sentence	19923	20120	sentence
A0036	sentence	20121	21396	sentence
A0037	sentence	21397	21439	sentence
A0038	sentence	21440	22947	sentence
A0039	sentence	22948	23019	sentence
A0040	sentence	23021	23164	sentence
A0041	sentence	23165	23186	sentence
A0042	sentence	23187	23518	sentence
A0043	sentence	23519	23541	sentence
A0044	sentence	23542	23958	sentence
A0045	sentence	23959	24260	sentence
A0046	sentence	24261	24302	sentence
A0047	sentence	24303	24583	sentence
A0048	sentence	24584	24722	sentence
A0049	sentence	24723	24906	sentence
A0050	sentence	24907	24933	sentence
A0051	sentence	24934	25043	sentence
A0052	sentence	25044	25432	sentence
A0053	sentence	25434	25685	sentence
A0054	sentence	25686	25815	sentence
A0055	sentence	25817	26170	sentence
