anchor_id	anchor_type	start	end	label
A0001	sentence	0	518	sentence
A0002	sentence	519	758	sentence
A0003	sentence	759	1235	sentence
A0004	sentence	1236	1449	sentence
A0005	sentence	1450	1630	sentence
A0006	sentence	1631	1946	sentence
A0007	sentence	1947	2176	sentence
A0008	sentence	2177	2192	sentence
A0009	sentence	2193	2733	sentence
A0010	sentence	2734	2770	sentence
A0011	sentence	2771	2958	sentence
A0012	sentence	2959	3044	sentence
A0013	sentence	3045	3353	sentence
A0014	sentence	3354	3610	sentence
A0015	sentence	3611	3692	sentence
A0016	sentence	3693	3781	sentence
A0017	sentence	3782	3865	sentence
A0018	sentence	3866	4103	sentence
A0019	sentence	4104	4184	sentence
A0020	sentence	4185	4203	sentence
A0021	sentence	4204	4609	sentence
A0022	sentence	4610	4622	sentence
A0023	sentence	4623	5226	sentence
A0024	sentence	5227	5269	sentence
A0025	sentence	5270	6209	sentence
A0026	sentence	6210	6343	sentence
A0027	sentence	6344	6501	sentence
A0028	sentence	6502	6946	sentence
A0029	sentence	6947	7098	sentence
A0030	sentence	7099	8537	sentence
A0031	sentence	8538	8708	sentence
A0032	sentence	8709	9175	sentence
A0033	sentence	9176	9262	sentence
A0034	sentence	9263	9658	sentence
A0035	sentence	9659	9790	sentence
A0036	sentence	9791	10224	sentence
A0037	sentence	10225	10407	sentence
A0038	sentence	10408	10558	sentence
A0039	sentence	10559	11874	sentence
A0040	sentence	11875	12045	sentence
A0041	sentence	12046	12502	sentence
A0042	sentence	12503	12589	sentence
A0043	sentence	12590	12899	sentence
A0044	sentence	12900	13040	sentence
A0045	sentence	13041	13323	sentence
A0046	sentence	13324	15498	sentence
A0047	sentence	15499	15776	sentence
A0048	sentence	15777	15829	sentence
A0049	sentence	15830	15922	sentence
A0050	sentence	15923	16524	sentence
A0051	sentence	16525	18563	sentence
A0052	sentence	18564	19438	sentence
A0053	sentence	19439	20242	sentence
A0054	sentence	20243	20513	sentence
A0055	sentence	20514	21084	sentence
A0056	sentence	21085	21548	sentence
A0057	sentence	21549	21795	sentence
A0058	sentence	21796	22091	sentence
A0059	sentence	22092	22245	sentence
A0060	sentence	22246	22311	sentence
A0061	sentence	22312	22638	sentence
A0062	sentence	22639	23489	sentence
A0063	sentence	23490	23865	sentence
A0064	sentence	23866	24307	sentence
A0065	sentence	24308	24740	sentence
A0066	sentence	24741	25027	sentence
A0067	sentence	25028	25373	sentence
A0068	sentence	25374	25451	sentence
A0069	sentence	25452	25510	sentence
A0070	sentence	25511	25786	sentence
A0071	sentence	25787	26021	sentence
A0072	sentence	26022	26198	sentence
A0073	sentence	26199	26917	sentence
A0074	sentence	26918	27083	sentence
A0075	sentence	27084	27759	sentence
A0076	sentence	27760	28065	sentence
A0077	sentence	28066	28084	sentence
A0078	sentence	28085	28398	sentence
A0079	sentence	28399	28811	sentence
A0080	sentence	28812	28911	sentence
A0081	sentence	28912	29072	sentence
A0082	sentence	29073	29103	sentence
A0083	sentence	29104	29606	sentence
A0084	sentence	29607	29717	sentence
A0085	sentence	29718	29983	sentence
A0086	sentence	29984	30123	sentence
A0087	sentence	30124	30843	sentence
A0088	sentence	30844	31010	sentence
A0089	sentence	31011	31158	sentence
A0090	sentence	31159	31388	sentence
A0091	sentence	31389	31654	sentence
A0092	sentence	31655	31669	sentence
A0093	sentence	31670	31893	sentence
A0094	sentence	31894	32107	sentence
A0095	sentence	32108	32310	sentence
A0096	sentence	32311	32451	sentence
A0097	sentence	32452	32580	sentence
A0098	sentence	32581	32870	sentence
A0099	sentence	32871	33037	sentence
A0100	sentence	33038	33499	sentence
A0101	sentence	33500	33696	sentence
A0102	sentence	33697	34184	sentence
A0103	sentence	34186	34453	sentence
A0104	sentence	34455	34789	sentence
A0105	sentence	34790	35590	sentence
A0106	sentence	35591	36104	sentence
A0107	sentence	36105	36838	sentence
A0108	sentence	36839	37278	sentence
A0109	sentence	37279	37627	sentence
