anchor_id	anchor_type	start	end	label
A0001	sentence	0	12	sentence
A0002	sentence	14	36	sentence
A0003	sentence	38	71	sentence
A0004	sentence	73	102	sentence
A0005	sentence	104	492	sentence
A0006	sentence	494	645	sentence
A0007	sentence	647	771	sentence
A0008	sentence	773	902	sentence
A0009	sentence	904	1025	sentence
A0010	sentence	1027	1637	sentence
A0011	sentence	1639	1724	sentence
A0012	sentence	1726	1763	sentence
A0013	sentence	1764	2308	sentence
A0014	sentence	2310	2395	sentence
A0015	sentence	2397	3265	sentence
A0016	sentence	3266	3406	sentence
A0017	table	3408	3456	table
A0018	table	3458	3490	table
A0019	sentence	3492	3494	sentence
A0020	sentence	3501	4018	sentence
A0021	sentence	4020	4172	sentence
A0022	sentence	4174	4286	sentence
A0023	sentence	4288	4637	sentence
A0024	sentence	4639	4656	sentence
A0025	sentence	4658	4680	sentence
A0026	table	4682	4879	table
A0027	sentence	4881	4882	sentence
