anchor_id	anchor_type	start	end	label
A0001	sentence	0	24	sentence
A0002	sentence	26	221	sentence
A0003	sentence	223	1011	sentence
A0004	sentence	1012	2872	sentence
A0005	sentence	2874	3486	sentence
A0006	sentence	3487	3645	sentence
A0007	sentence	3646	3780	sentence
A0008	sentence	3781	3810	sentence
A0009	sentence	3811	4009	sentence
A0010	sentence	4010	4197	sentence
A0011	sentence	4198	4226	sentence
A0012	sentence	4227	4588	sentence
A0013	sentence	4589	4826	sentence
A0014	sentence	4827	4963	sentence
A0015	sentence	4964	5404	sentence
A0016	sentence	5405	5707	sentence
A0017	sentence	5708	5737	sentence
A0018	sentence	5738	5869	sentence
A0019	sentence	5870	5937	sentence
A0020	sentence	5938	6026	sentence
A0021	sentence	6028	6070	sentence
A0022	sentence	6071	6545	sentence
A0023	sentence	6546	8548	sentence
A0024	sentence	8550	9877	sentence
A0025	sentence	9878	10064	sentence
A0026	sentence	10065	10271	sentence
A0027	sentence	10272	10338	sentence
A0028	sentence	10339	10470	sentence
A0029	sentence	10471	10685	sentence
A0030	sentence	10686	10927	sentence
A0031	sentence	10929	11033	sentence
A0032	sentence	11034	11395	sentence
A0033	sentence	11396	11432	sentence
A0034	sentence	11433	12327	sentence
A0035	sentence	12328	12624	sentence
A0036	sentence	12625	12664	sentence
A0037	sentence	12665	12752	sentence
A0038	sentence	12753	12786	sentence
A0039	sentence	12787	12862	sentence
A0040	sentence	12863	12897	sentence
A0041	sentence	12898	13220	sentence
A0042	sentence	13221	13258	sentence
A0043	sentence	13259	13591	sentence
A0044	sentence	13592	13626	sentence
A0045	sentence	13627	13706	sentence
A0046	sentence	13707	14302	sentence
A0047	sentence	14304	14831	sentence
A0048	sentence	14832	15010	sentence
A0049	sentence	15011	15301	sentence
A0050	sentence	15302	15879	sentence
A0051	sentence	15880	16789	sentence
A0052	sentence	16790	16906	sentence
A0053	sentence	16907	17277	sentence
A0054	sentence	17278	17701	sentence
A0055	sentence	17703	18070	sentence
A0056	sentence	18071	18377	sentence
A0057	sentence	18378	18884	sentence
A0058	sentence	18885	19606	sentence
A0059	sentence	19607	19985	sentence
A0060	sentence	19986	20644	sentence
A0061	sentence	20645	20954	sentence
A0062	sentence	20955	21043	sentence
A0063	sentence	21045	21079	sentence
A0064	sentence	21080	21347	sentence
A0065	sentence	21348	21591	sentence
A0066	sentence	21592	21905	sentence
A0067	sentence	21906	21994	sentence
A0068	sentence	21995	22067	sentence
A0069	sentence	22068	22089	sentence
A0070	sentence	22090	22405	sentence
A0071	sentence	22406	22513	sentence
A0072	sentence	22514	22707	sentence
A0073	sentence	22708	22740	sentence
A0074	sentence	22741	22871	sentence
A0075	sentence	22872	23037	sentence
A0076	sentence	23038	23069	sentence
A0077	sentence	23070	23406	sentence
A0078	sentence	23407	23516	sentence
A0079	sentence	23517	23538	sentence
A0080	sentence	23539	23766	sentence
A0081	sentence	23767	23796	sentence
A0082	sentence	23797	24235	sentence
A0083	sentence	24236	24259	sentence
A0084	sentence	24260	24611	sentence
A0085	sentence	24613	24864	sentence
A0086	sentence	24865	24972	sentence
A0087	sentence	24973	25050	sentence
A0088	sentence	25051	25737	sentence
A0089	sentence	25738	25921	sentence
A0090	sentence	25922	26124	sentence
A0091	sentence	26125	26190	sentence
A0092	sentence	26191	26308	sentence
A0093	sentence	26309	26522	sentence
A0094	sentence	26523	26776	sentence
A0095	sentence	26777	27135	sentence
A0096	sentence	27136	27172	sentence
A0097	sentence	27173	27397	sentence
A0098	sentence	27399	27701	sentence
A0099	sentence	27702	27996	sentence
A0100	sentence	27997	28028	sentence
A0101	sentence	28029	28238	sentence
A0102	sentence	28239	28348	sentence
A0103	sentence	28349	28370	sentence
A0104	sentence	28371	28597	sentence
A0105	sentence	28598	28672	sentence
A0106	sentence	28673	29287	sentence
A0107	sentence	29288	30197	sentence
A0108	sentence	30199	30416	sentence
A0109	sentence	30417	30452	sentence
A0110	sentence	30453	31003	sentence
A0111	sentence	31004	31038	sentence
A0112	sentence	31039	31819	sentence
A0113	sentence	31820	31979	sentence
A0114	sentence	31980	32011	sentence
A0115	sentence	32012	32464	sentence
A0116	sentence	32465	32864	sentence
A0117	sentence	32865	32894	sentence
A0118	sentence	32895	33125	sentence
A0119	sentence	33126	33154	sentence
A0120	sentence	33155	33426	sentence
A0121	sentence	33427	33692	sentence
A0122	sentence	33694	33722	sentence
A0123	sentence	33723	34959	sentence
A0124	sentence	34960	35245	sentence
A0125	sentence	35246	35685	sentence
A0126	sentence	35686	35716	sentence
A0127	sentence	35717	36301	sentence
A0128	sentence	36302	36334	sentence
A0129	sentence	36335	36689	sentence
A0130	sentence	36690	36739	sentence
A0131	sentence	36740	36888	sentence
A0132	sentence	36889	36928	sentence
A0133	sentence	36929	37157	sentence
A0134	sentence	37159	38112	sentence
A0135	sentence	38113	38616	sentence
A0136	sentence	38617	39029	sentence
A0137	sentence	39030	39068	sentence
A0138	sentence	39069	39714	sentence
A0139	sentence	39715	39755	sentence
A0140	sentence	39756	40268	sentence
A0141	sentence	40270	40449	sentence
A0142	sentence	40450	40589	sentence
A0143	sentence	40590	41186	sentence
A0144	sentence	41187	41653	sentence
A0145	sentence	41654	42348	sentence
A0146	sentence	42349	42404	sentence
A0147	sentence	42405	42592	sentence
A0148	sentence	42593	42630	sentence
A0149	sentence	42631	43023	sentence
A0150	sentence	43024	43057	sentence
A0151	sentence	43058	43249	sentence
A0152	sentence	43250	43364	sentence
A0153	sentence	43366	43391	sentence
A0154	sentence	43392	43560	sentence
A0155	sentence	43561	43582	sentence
A0156	sentence	43583	44256	sentence
A0157	sentence	44257	45139	sentence
A0158	sentence	45141	45166	sentence
A0159	sentence	45167	45364	sentence
A0160	sentence	45365	45477	sentence
A0161	sentence	45478	45504	sentence
A0162	sentence	45505	45804	sentence
A0163	sentence	45805	45835	sentence
A0164	sentence	45836	46156	sentence
A0165	sentence	46157	46468	sentence
A0166	sentence	46469	46505	sentence
A0167	sentence	46506	46650	sentence
A0168	sentence	46651	46846	sentence
A0169	sentence	46847	46931	sentence
A0170	sentence	46932	46974	sentence
A0171	sentence	46975	47337	sentence
A0172	sentence	47338	47378	sentence
A0173	sentence	47379	47495	sentence
A0174	sentence	47496	47516	sentence
A0175	sentence	47517	47665	sentence
A0176	sentence	47666	47920	sentence
A0177	sentence	47921	48288	sentence
A0178	sentence	48289	48316	sentence
A0179	sentence	48317	48652	sentence
A0180	sentence	48654	48697	sentence
A0181	sentence	48698	49087	sentence
A0182	sentence	49088	49122	sentence
A0183	sentence	49123	49498	sentence
A0184	sentence	49499	49533	sentence
A0185	sentence	49534	49966	sentence
A0186	sentence	49967	49993	sentence
A0187	sentence	49994	50160	sentence
A0188	sentence	50161	50358	sentence
A0189	sentence	50359	50409	sentence
A0190	sentence	50410	51492	sentence
A0191	sentence	51493	51528	sentence
A0192	sentence	51529	51765	sentence
A0193	sentence	51767	51932	sentence
A0194	sentence	51933	52044	sentence
A0195	sentence	52046	52206	sentence
A0196	sentence	52209	52474	sentence
A0197	sentence	52476	52659	sentence
A0198	sentence	52660	53054	sentence
A0199	sentence	53056	53105	sentence
A0200	sentence	53106	53594	sentence
