anchor_id	anchor_type	start	end	label
A0001	sentence	0	12	sentence
A0002	sentence	14	43	sentence
A0003	sentence	45	163	sentence
A0004	sentence	165	181	sentence
A0005	sentence	182	348	sentence
A0006	sentence	350	677	sentence
A0007	sentence	679	681	sentence
A0008	sentence	688	1140	sentence
A0009	sentence	1142	1438	sentence
A0010	sentence	1440	1657	sentence
A0011	sentence	1659	1865	sentence
A0012	sentence	1867	1903	sentence
A0013	sentence	1905	1909	sentence
A0014	sentence	1911	2027	sentence
A0015	sentence	2028	2122	sentence
A0016	sentence	2124	2128	sentence
A0017	sentence	2130	2286	sentence
A0018	sentence	2288	2292	sentence
A0019	sentence	2294	2580	sentence
A0020	sentence	2581	2876	sentence
A0021	sentence	2878	2882	sentence
A0022	sentence	2884	2938	sentence
A0023	sentence	2940	2944	sentence
A0024	sentence	2946	2999	sentence
A0025	sentence	3000	3513	sentence
A0026	table	3515	3565	table
A0027	sentence	3567	3569	sentence
A0028	sentence	3571	3614	sentence
A0029	sentence	3615	3977	sentence
A0030	sentence	3979	3981	sentence
A0031	sentence	3983	10921	sentence
A0032	sentence	10922	11400	sentence
A0033	table	11402	11452	table
A0034	sentence	11454	11456	sentence
A0035	sentence	11458	13499	sentence
A0036	sentence	13500	14753	sentence
A0037	sentence	14754	15314	sentence
A0038	sentence	15315	15961	sentence
A0039	table	15963	16013	table
A0040	sentence	16015	16258	sentence
A0041	sentence	16260	16264	sentence
A0042	sentence	16266	16344	sentence
A0043	sentence	16346	16350	sentence
A0044	sentence	16352	16449	sentence
A0045	sentence	16451	16811	sentence
A0046	sentence	16813	16817	sentence
A0047	sentence	16819	16910	sentence
A0048	sentence	16912	16916	sentence
A0049	sentence	16918	17195	sentence
A0050	sentence	17197	17201	sentence
A0051	sentence	17203	17397	sentence
A0052	sentence	17399	17403	sentence
A0053	sentence	17405	17533	sentence
A0054	sentence	17535	17583	sentence
A0055	table	17585	17635	table
A0056	sentence	17637	17641	sentence
A0057	sentence	17643	17838	sentence
A0058	sentence	17840	18842	sentence
A0059	sentence	18843	19147	sentence
A0060	sentence	19148	19336	sentence
A0061	sentence	19338	19916	sentence
A0062	sentence	19917	20185	sentence
A0063	sentence	20186	20505	sentence
A0064	sentence	20506	20689	sentence
A0065	sentence	20691	21208	sentence
A0066	sentence	21209	21608	sentence
A0067	sentence	21609	22011	sentence
A0068	table	22013	22063	table
A0069	sentence	22065	22068	sentence
A0070	sentence	22069	22088	sentence
A0071	sentence	22090	22095	sentence
A0072	sentence	22097	22117	sentence
A0073	sentence	22118	22796	sentence
A0074	sentence	22798	22803	sentence
A0075	sentence	22805	22832	sentence
A0076	sentence	22833	23566	sentence
A0077	sentence	23568	23573	sentence
A0078	sentence	23575	24206	sentence
A0079	sentence	24207	24369	sentence
A0080	sentence	24370	24592	sentence
A0081	sentence	24593	24845	sentence
A0082	sentence	24846	25162	sentence
A0083	sentence	25163	25647	sentence
A0084	sentence	25649	25652	sentence
A0085	sentence	25653	26058	sentence
A0086	sentence	26060	26065	sentence
A0087	sentence	26067	26725	sentence
A0088	sentence	26726	26911	sentence
A0089	sentence	26912	27429	sentence
A0090	sentence	27430	27582	sentence
A0091	table	27584	27634	table
A0092	sentence	27636	27641	sentence
A0093	sentence	27643	28132	sentence
A0094	sentence	28133	28378	sentence
A0095	sentence	28379	30084	sentence
A0096	sentence	30085	30792	sentence
A0097	sentence	30793	31099	sentence
A0098	sentence	31101	31106	sentence
A0099	sentence	31108	31369	sentence
A0100	sentence	31370	31759	sentence
A0101	sentence	31760	32295	sentence
A0102	sentence	32296	32498	sentence
A0103	sentence	32499	33161	sentence
A0104	table	33163	33213	table
A0105	sentence	33215	33220	sentence
A0106	sentence	33222	34000	sentence
A0107	sentence	34001	34508	sentence
A0108	sentence	34509	34626	sentence
A0109	sentence	34627	34853	sentence
A0110	sentence	34854	35114	sentence
A0111	sentence	35115	35493	sentence
A0112	sentence	35495	35500	sentence
A0113	sentence	35502	35695	sentence
A0114	sentence	35696	36037	sentence
A0115	sentence	36039	36044	sentence
A0116	sentence	36046	36202	sentence
A0117	sentence	36204	36209	sentence
A0118	sentence	36211	36513	sentence
A0119	sentence	36514	36668	sentence
A0120	table	36670	36720	table
A0121	sentence	36722	36727	sentence
A0122	sentence	36729	37090	sentence
A0123	sentence	37091	37510	sentence
A0124	sentence	37511	37680	sentence
A0125	sentence	37682	37687	sentence
A0126	sentence	37689	37827	sentence
A0127	sentence	37829	37835	sentence
A0128	sentence	37837	37846	sentence
A0129	sentence	37847	38806	sentence
A0130	sentence	38808	38822	sentence
A0131	sentence	38824	38845	sentence
A0132	sentence	38847	38866	sentence
A0133	sentence	38868	38911	sentence
A0134	sentence	38913	38960	sentence
A0135	sentence	38962	38969	sentence
A0136	sentence	38971	38986	sentence
A0137	sentence	38988	39014	sentence
A0138	sentence	39016	39031	sentence
A0139	sentence	39033	39066	sentence
A0140	sentence	39068	39091	sentence
A0141	sentence	39093	39149	sentence
A0142	sentence	39151	39186	sentence
A0143	sentence	39188	39209	sentence
A0144	sentence	39211	39248	sentence
A0145	sentence	39250	39266	sentence
A0146	table	39268	39318	table
A0147	sentence	39320	39326	sentence
A0148	sentence	39328	39628	sentence
A0149	sentence	39629	39883	sentence
A0150	sentence	39885	39891	sentence
A0151	sentence	39893	40133	sentence
A0152	sentence	40134	40552	sentence
A0153	sentence	40554	40560	sentence
A0154	sentence	40562	40582	sentence
A0155	sentence	40583	40965	sentence
