anchor_id	anchor_type	start	end	label
A0001	sentence	0	12	sentence
A0002	sentence	14	59	sentence
A0003	sentence	61	465	sentence
A0004	sentence	466	766	sentence
A0005	sentence	768	776	sentence
A0006	sentence	778	1401	sentence
A0007	sentence	1403	1796	sentence
A0008	sentence	1798	2210	sentence
A0009	sentence	2212	2535	sentence
A0010	sentence	2537	2810	sentence
A0011	sentence	2812	2821	sentence
A0012	sentence	2823	2883	sentence
A0013	sentence	2885	3393	sentence
A0014	sentence	3394	4139	sentence
A0015	sentence	4141	5312	sentence
A0016	sentence	5314	5608	sentence
A0017	sentence	5609	5945	sentence
A0018	sentence	5946	6748	sentence
A0019	sentence	6750	6785	sentence
A0020	sentence	6787	6790	sentence
A0021	sentence	6792	7348	sentence
A0022	sentence	7350	8008	sentence
A0023	sentence	8010	8011	sentence
A0024	sentence	8013	8188	sentence
A0025	sentence	8190	8829	sentence
A0026	sentence	8831	8982	sentence
A0027	sentence	8983	9777	sentence
A0028	sentence	9779	10615	sentence
A0029	sentence	10617	11983	sentence
A0030	sentence	11985	12260	sentence
A0031	sentence	12262	12710	sentence
A0032	sentence	12711	13039	sentence
A0033	sentence	13040	13790	sentence
A0034	sentence	13792	13793	sentence
A0035	sentence	13795	14177	sentence
A0036	sentence	14179	14772	sentence
A0037	sentence	14774	15798	sentence
A0038	sentence	15800	16166	sentence
A0039	sentence	16168	16170	sentence
A0040	sentence	16171	18399	sentence
A0041	sentence	18401	18634	sentence
A0042	sentence	18635	18833	sentence
A0043	sentence	18834	19329	sentence
A0044	sentence	19331	19831	sentence
A0045	sentence	19833	19834	sentence
A0046	sentence	19836	19838	sentence
A0047	sentence	19839	20600	sentence
A0048	sentence	20602	20604	sentence
A0049	sentence	20605	22225	sentence
A0050	sentence	22227	22229	sentence
A0051	sentence	22230	22825	sentence
A0052	sentence	22827	22844	sentence
A0053	sentence	22846	22890	sentence
A0054	sentence	22892	22910	sentence
A0055	sentence	22912	22930	sentence
A0056	sentence	22932	22958	sentence
A0057	sentence	22960	22987	sentence
A0058	sentence	22989	23040	sentence
A0059	sentence	23042	23093	sentence
A0060	sentence	23095	23115	sentence
A0061	sentence	23117	23133	sentence
A0062	sentence	23135	23173	sentence
A0063	sentence	23175	23221	sentence
A0064	sentence	23223	23245	sentence
A0065	sentence	23247	23286	sentence
A0066	sentence	23288	23319	sentence
A0067	sentence	23321	23342	sentence
A0068	sentence	23344	23372	sentence
A0069	sentence	23374	23401	sentence
A0070	sentence	23403	23404	sentence
A0071	sentence	23406	23457	sentence
A0072	sentence	23459	23479	sentence
A0073	sentence	23481	23496	sentence
A0074	sentence	23498	23514	sentence
A0075	sentence	23516	23540	sentence
A0076	sentence	23542	23570	sentence
A0077	sentence	23572	23829	sentence
A0078	sentence	23831	23833	sentence
A0079	sentence	23834	24241	sentence
A0080	sentence	24243	24246	sentence
A0081	sentence	24247	24460	sentence
A0082	sentence	24461	24710	sentence
A0083	sentence	24711	24966	sentence
A0084	sentence	24968	24971	sentence
A0085	sentence	24972	25308	sentence
A0086	sentence	25310	25313	sentence
A0087	sentence	25314	25647	sentence
A0088	sentence	25648	25974	sentence
A0089	sentence	25975	26400	sentence
A0090	sentence	26401	26751	sentence
A0091	sentence	26753	26756	sentence
A0092	sentence	26757	27143	sentence
A0093	sentence	27144	27287	sentence
A0094	sentence	27289	27292	sentence
A0095	sentence	27293	27308	sentence
A0096	sentence	27310	27593	sentence
A0097	sentence	27595	27619	sentence
A0098	sentence	27621	27622	sentence
A0099	sentence	27624	27762	sentence
A0100	table	27764	27962	table
A0101	sentence	27964	28021	sentence
A0102	sentence	28023	28161	sentence
A0103	table	28163	28351	table
A0104	sentence	28353	28491	sentence
A0105	table	28493	28704	table
A0106	sentence	28706	28844	sentence
A0107	table	28846	29060	table
A0108	sentence	29062	29200	sentence
A0109	table	29202	29421	table
A0110	sentence	29423	29561	sentence
A0111	table	29563	29779	table
A0112	sentence	29781	29919	sentence
A0113	table	29921	30114	table
A0114	sentence	30116	30254	sentence
A0115	table	30256	30376	table
A0116	sentence	30378	30516	sentence
A0117	table	30518	30638	table
A0118	sentence	30640	30778	sentence
A0119	table	30780	30882	table
A0120	sentence	30884	31022	sentence
A0121	table	31024	31130	table
A0122	sentence	31132	31270	sentence
A0123	table	31272	31388	table
A0124	sentence	31390	31400	sentence
