anchor_id	anchor_type	start	end	label
A0001	sentence	0	12	sentence
A0002	sentence	14	40	sentence
A0003	sentence	42	414	sentence
A0004	sentence	415	558	sentence
A0005	sentence	560	737	sentence
A0006	sentence	739	849	sentence
A0007	sentence	851	988	sentence
A0008	sentence	990	1196	sentence
A0009	sentence	1198	1200	sentence
A0010	sentence	1202	1232	sentence
A0011	table	1234	1474	table
A0012	table	1476	1950	table
A0013	table	1952	2453	table
A0014	table	2455	2682	table
A0015	sentence	2684	2686	sentence
A0016	sentence	2688	2708	sentence
A0017	sentence	2709	3715	sentence
A0018	sentence	3717	3719	sentence
A0019	sentence	3721	3729	sentence
A0020	sentence	3730	4159	sentence
A0021	sentence	4161	4163	sentence
A0022	sentence	4165	4281	sentence
A0023	table	4283	5032	table
A0024	table	5034	5481	table
A0025	table	5483	5712	table
A0026	sentence	5714	5991	sentence
A0027	sentence	5992	6292	sentence
A0028	sentence	6294	6296	sentence
A0029	sentence	6298	6313	sentence
A0030	table	6315	6682	table
A0031	table	6684	7196	table
A0032	sentence	7198	7216	sentence
A0033	sentence	7218	7253	sentence
A0034	sentence	7255	7283	sentence
A0035	sentence	7285	7305	sentence
A0036	sentence	7307	7343	sentence
A0037	sentence	7345	7372	sentence
A0038	sentence	7374	7425	sentence
A0039	sentence	7427	7465	sentence
A0040	sentence	7467	7501	sentence
A0041	sentence	7503	7523	sentence
A0042	sentence	7525	7547	sentence
A0043	sentence	7549	7574	sentence
A0044	sentence	7576	7613	sentence
A0045	sentence	7615	7634	sentence
A0046	sentence	7636	7666	sentence
A0047	sentence	7668	7759	sentence
A0048	sentence	7761	7789	sentence
A0049	sentence	7791	7807	sentence
A0050	sentence	7809	7836	sentence
A0051	sentence	7838	7872	sentence
A0052	sentence	7874	7965	sentence
A0053	sentence	7967	7995	sentence
A0054	table	7997	8851	table
A0055	table	8853	9438	table
A0056	table	9440	9778	table
A0057	table	9780	10786	table
A0058	table	10788	12654	table
A0059	table	12656	13041	table
A0060	table	13043	13421	table
A0061	table	13423	14210	table
A0062	sentence	14212	14236	sentence
A0063	sentence	14238	14372	sentence
A0064	table	14374	14805	table
A0065	table	14807	15137	table
