anchor_id	anchor_type	start	end	label
A0001	sentence	0	794	sentence
A0002	sentence	795	1389	sentence
A0003	sentence	1390	1779	sentence
A0004	sentence	1780	2324	sentence
A0005	sentence	2325	2451	sentence
A0006	sentence	2452	3032	sentence
A0007	sentence	3033	4032	sentence
A0008	sentence	4033	4160	sentence
A0009	sentence	4161	4370	sentence
A0010	sentence	4371	5717	sentence
A0011	sentence	5718	8509	sentence
A0012	sentence	8510	8887	sentence
A0013	sentence	8888	9832	sentence
A0014	sentence	9833	9954	sentence
A0015	sentence	9955	11458	sentence
A0016	sentence	11459	11760	sentence
A0017	sentence	11761	13806	sentence
A0018	sentence	13807	14702	sentence
A0019	sentence	14703	16335	sentence
A0020	sentence	16336	17825	sentence
A0021	sentence	17826	18057	sentence
A0022	sentence	18058	18205	sentence
A0023	sentence	18206	18377	sentence
A0024	sentence	18378	18914	sentence
A0025	sentence	18915	19034	sentence
A0026	sentence	19035	19700	sentence
A0027	sentence	19701	20151	sentence
A0028	sentence	20152	20827	sentence
A0029	sentence	20828	21437	sentence
A0030	sentence	21438	22221	sentence
A0031	sentence	22222	22706	sentence
A0032	sentence	22707	23336	sentence
A0033	sentence	23337	24017	sentence
A0034	sentence	24018	24383	sentence
A0035	sentence	24384	24798	sentence
A0036	sentence	24799	24905	sentence
A0037	sentence	24906	25156	sentence
A0038	sentence	25157	25328	sentence
A0039	sentence	25329	25536	sentence
A0040	sentence	25537	25815	sentence
A0041	sentence	25816	25996	sentence
A0042	sentence	25997	26099	sentence
A0043	sentence	26100	26360	sentence
A0044	sentence	26361	26715	sentence
A0045	sentence	26716	27063	sentence
A0046	sentence	27064	27320	sentence
A0047	sentence	27321	27823	sentence
A0048	sentence	27824	28118	sentence
A0049	sentence	28119	28289	sentence
A0050	sentence	28290	28556	sentence
A0051	sentence	28557	29101	sentence
