anchor_id	anchor_type	start	end	label
A0001	sentence	0	12	sentence
A0002	sentence	14	48	sentence
A0003	sentence	50	424	sentence
A0004	sentence	426	664	sentence
A0005	sentence	666	932	sentence
A0006	sentence	934	1715	sentence
A0007	sentence	1717	2041	sentence
A0008	sentence	2043	2271	sentence
A0009	sentence	2273	2542	sentence
A0010	sentence	2544	2546	sentence
A0011	sentence	2548	2578	sentence
A0012	sentence	2580	2666	sentence
A0013	sentence	2668	2731	sentence
A0014	sentence	2733	2792	sentence
A0015	sentence	2794	2924	sentence
A0016	sentence	2926	3006	sentence
A0017	sentence	3008	3069	sentence
A0018	sentence	3071	3137	sentence
A0019	sentence	3139	3264	sentence
A0020	sentence	3266	3581	sentence
A0021	sentence	3583	3675	sentence
A0022	sentence	3677	3747	sentence
A0023	sentence	3749	3826	sentence
A0024	sentence	3828	3966	sentence
A0025	sentence	3968	4039	sentence
A0026	sentence	4041	4105	sentence
A0027	sentence	4107	4167	sentence
A0028	sentence	4169	4671	sentence
A0029	sentence	4672	4716	sentence
A0030	sentence	4718	4783	sentence
A0031	sentence	4785	4868	sentence
A0032	sentence	4870	4936	sentence
A0033	sentence	4938	4994	sentence
A0034	sentence	4996	5128	sentence
A0035	sentence	5130	5271	sentence
A0036	sentence	5273	5275	sentence
A0037	sentence	5277	5302	sentence
A0038	sentence	5304	5740	sentence
A0039	sentence	5742	6324	sentence
A0040	sentence	6326	6327	sentence
A0041	sentence	6329	6331	sentence
A0042	sentence	6333	6352	sentence
A0043	sentence	6353	7025	sentence
A0044	sentence	7027	7368	sentence
A0045	sentence	7370	7691	sentence
A0046	sentence	7693	8033	sentence
A0047	sentence	8035	8390	sentence
A0048	sentence	8392	8717	sentence
A0049	sentence	8719	8884	sentence
A0050	sentence	8886	9049	sentence
A0051	sentence	9051	9053	sentence
A0052	sentence	9055	9126	sentence
A0053	sentence	9128	9439	sentence
A0054	sentence	9441	9916	sentence
A0055	sentence	9918	9919	sentence
