anchor_id	anchor_type	start	end	label
A0001	sentence	0	13	sentence
A0002	sentence	15	27	sentence
A0003	sentence	29	44	sentence
A0004	sentence	46	86	sentence
A0005	sentence	88	125	sentence
A0006	sentence	127	150	sentence
A0007	sentence	152	269	sentence
A0008	sentence	271	604	sentence
A0009	sentence	605	1079	sentence
A0010	sentence	1081	1400	sentence
A0011	sentence	1401	1615	sentence
A0012	sentence	1617	1637	sentence
A0013	sentence	1638	1750	sentence
A0014	sentence	1751	1884	sentence
A0015	sentence	1886	1909	sentence
A0016	sentence	1910	2051	sentence
A0017	sentence	2052	2139	sentence
A0018	sentence	2141	2301	sentence
A0019	sentence	2303	2304	sentence
A0020	sentence	2306	3462	sentence
A0021	sentence	3463	3885	sentence
A0022	sentence	3887	4032	sentence
A0023	sentence	4034	4187	sentence
A0024	sentence	4189	4803	sentence
A0025	sentence	4804	5355	sentence
A0026	sentence	5357	5564	sentence
A0027	sentence	5566	5717	sentence
A0028	sentence	5719	5874	sentence
A0029	sentence	5876	5877	sentence
A0030	sentence	5879	6374	sentence
A0031	sentence	6375	6481	sentence
A0032	sentence	6482	6709	sentence
A0033	sentence	6710	7071	sentence
A0034	sentence	7073	7123	sentence
A0035	sentence	7124	7704	sentence
A0036	sentence	7705	8015	sentence
A0037	sentence	8017	8043	sentence
A0038	sentence	8044	8561	sentence
A0039	sentence	8562	8784	sentence
A0040	sentence	8786	8809	sentence
A0041	sentence	8810	9695	sentence
A0042	sentence	9697	9698	sentence
A0043	sentence	9700	10283	sentence
A0044	sentence	10285	10307	sentence
A0045	sentence	10308	10674	sentence
A0046	sentence	10676	10686	sentence
A0047	sentence	10687	11085	sentence
A0048	sentence	11087	11604	sentence
A0049	sentence	11605	11748	sentence
A0050	sentence	11749	12462	sentence
A0051	sentence	12463	12945	sentence
A0052	sentence	12946	13176	sentence
A0053	sentence	13178	13179	sentence
A0054	sentence	13181	13217	sentence
A0055	sentence	13218	14384	sentence
A0056	sentence	14386	14425	sentence
A0057	sentence	14426	14818	sentence
A0058	sentence	14819	15031	sentence
A0059	sentence	15033	15095	sentence
A0060	sentence	15096	15299	sentence
A0061	sentence	15300	15839	sentence
A0062	sentence	15841	15854	sentence
A0063	sentence	15855	16231	sentence
A0064	sentence	16233	16282	sentence
A0065	sentence	16283	16431	sentence
A0066	sentence	16433	16444	sentence
A0067	sentence	16445	16466	sentence
A0068	sentence	16467	16734	sentence
A0069	sentence	16736	16737	sentence
A0070	sentence	16739	16750	sentence
A0071	sentence	16751	17057	sentence
A0072	sentence	17059	17509	sentence
A0073	sentence	17511	18655	sentence
A0074	sentence	18657	19131	sentence
A0075	sentence	19132	19307	sentence
A0076	sentence	19308	19775	sentence
A0077	sentence	19776	20549	sentence
A0078	sentence	20551	20552	sentence
A0079	sentence	20554	20668	sentence
A0080	sentence	20669	21548	sentence
A0081	sentence	21550	21575	sentence
A0082	sentence	21576	21842	sentence
A0083	sentence	21844	21864	sentence
A0084	sentence	21865	22271	sentence
A0085	sentence	22273	22285	sentence
A0086	sentence	22286	22535	sentence
A0087	sentence	22537	22538	sentence
A0088	sentence	22540	22559	sentence
A0089	sentence	22560	22965	sentence
A0090	table	22967	23214	table
A0091	sentence	23216	23380	sentence
A0092	sentence	23382	23393	sentence
A0093	sentence	23394	23420	sentence
A0094	sentence	23421	23544	sentence
A0095	sentence	23545	23698	sentence
A0096	sentence	23699	23859	sentence
A0097	sentence	23861	23872	sentence
A0098	sentence	23873	23907	sentence
A0099	sentence	23908	24515	sentence
A0100	sentence	24517	24528	sentence
A0101	sentence	24529	24788	sentence
A0102	sentence	24789	25060	sentence
A0103	sentence	25062	25073	sentence
A0104	sentence	25074	25109	sentence
A0105	sentence	25110	25275	sentence
A0106	sentence	25276	25573	sentence
A0107	sentence	25574	25744	sentence
A0108	sentence	25746	25747	sentence
A0109	sentence	25749	25760	sentence
A0110	sentence	25761	26036	sentence
A0111	sentence	26038	26333	sentence
A0112	sentence	26334	26605	sentence
A0113	sentence	26607	27364	sentence
A0114	sentence	27366	27706	sentence
A0115	sentence	27707	28117	sentence
