anchor_id	kind	start	end	checksum	context_pre	context_post	prev_id	next_id	parent_heading	attributes_json
p000001	p	0	161025	8f6c0b99fd15b91c1c3bfed8719d990f37b9dedf1799ff67b3aec1b7eede054d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		s000001		{}
s000001	s	0	316	a703d80d401a57db31f43438688f72b763e8fbf9dd1d9be77abb9bada6e9d23f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	337e7f6e88f7bfb6125fcadaa8f20182064edafecfab5d95d631d36c141ae79b	p000001	s000002		{}
s000002	s	316	318	acbbb708385721a6275edb28b2265071ab2c596d66c45e0f095ca22a55c6fb7d	483693cb0d2543dd1d9a599458f084ff460cc8d9944db494486c6b116d60a4b3	9443b9b410e136108655ce7e92821c7e4b4cf286fcf14c543222d141a0bce3e8	s000001	s000003		{}
s000003	s	319	537	73fc16538f465a91791e31d327ad01c2a49ac0202e5d14dca5975fdd193a9a8b	e792f2e6fac571df97f5fb75023627c63f00c3f863cce1d5f7654e3a47ab591c	396d1ec13800d301f68aaac769d0a13aac6c60884ca6569e5d8d391958f5e267	s000002	s000004		{}
s000004	s	538	617	6e7e8c2aa0adbca466ed8257577e06fafa57ece309d6a9e6fdc6efa6aa6c9d7b	8d1e14fedaffd93115fcaedf6c9689e2783d204334c5678d8a6d9876fa7dc9a6	08573443cd8e08b4fffb729a7767653d06465a50a9a835bd67ca6d1e05987ea1	s000003	s000005		{}
s000005	s	618	707	1cc7d877b09b4e21a9f9c1cc2f470592535d429ebae5ad3d2955aebaa6261f2c	e34454c2657f31becc20facf46818f889d0b87485e1e2d79748a812dad09f917	13c6c7f69bd710a66c131b1337db7254c7cf6e6d069ab3324352df18f7073224	s000004	s000006		{}
s000006	s	708	865	c03668d84bb23c550aebb7462ea2e152adfe369dc45b8be70033fbef8b89213a	858dc9390fbf5be75b98d419c19a0a2f8596b1a7633ee28531ed2310764c380a	46b895457e8abf2f2e7d1e175937b710612da3cc4c7cffb3a55fa0ffe1f6a6b8	s000005	s000007		{}
s000007	s	866	927	af4c6b906fc6ffffac039fbf97b12b04aea6195c793a820a0a03d0be22b62579	219da3799e5ce5588e242ce2ed6abbbe1f3d9cc40f60c9d7243da65ff68314ed	a9a741ef4ca1c8596b78362df5c70a53886ca29b948bdc4624ce29e63fb4045e	s000006	s000008		{}
s000008	s	928	946	2e00b48267af884f17e6c8c0d3774182edd4e2bd5dbc9cf57de13d5e204df4c8	350cc71f716712ac3d4ad5d35704efd1fbb54952a8f8a58e61486fd6b1004c56	e162dd2f7dc55e6dc9b3e3f18526a0441526d8f872795e8363f4331724a54a67	s000007	s000009		{}
s000009	s	947	1002	f4b0fae895a659f74d89c265cfdacaa35dedf0dabffd3eeabd41e3a22ebed88b	59a0258b241cc19d6243c2cb524c9d692c8a37a436860a9c80d0b29c2e9a6a51	e198485b3617a9f995fd0d7d72465979bb447f394fae18d4b8b60c2c75cae462	s000008	s000010		{}
s000010	s	1003	1013	2e9fd1099f70d9b7b946412748cf72286a638a8ee7b8b98bb5e4ca0580312e09	d617ac5bad6cdf4971c70918f771016c2f6eba1498425d706e32e39446065ab3	c284c568be4392249c6ad360bd864dcc3a3623d03afaaa696972e3e0110a46fa	s000009	s000011		{}
s000011	s	1015	1147	e849360474a9dc8df213c9d4a088cc513711cf5ebdaeebc5fd3ffabd91a5a630	74aacdac19e83e8865fe80460f8d674d1331fd70c520d1320a9bc94f4d36fdbe	78d084d46e20780e57d4d3826de34da1d2214879fcafcc727dff09adee9d22d0	s000010	s000012		{}
s000012	s	1148	1373	0f7451973d8e142bd40d866e882c9b323a019b37730a44dc0220bf244af9c25d	615d47044d3de4cc66c894f1007bacd2f27b0b78155bf78b0d17171c51ca05f8	3fc52176f274190ec4b79cb0aeb3ceb45abe133e89b74537c5e26fbb61089793	s000011	s000013		{}
s000013	s	1376	1378	fd0a559e715a134218c73276dc57d463cc4ff1a7d81f21846d6cfb65f8a23e9c	ec48b4083b6302446fd356e51ed961ba3289e95161afeda8de5afffa60d6d2b8	e04457775ea8f336cff620d9c3fc763d463c8c24de78dd2af96861cc78e7d49a	s000012	s000014		{}
s000014	s	1379	1490	cace0f9fcd60959c89b0a42cf7270be14e095c036bff3679c591ad7bf91b0c1f	422fc7c87c232350532656e6c4535f94f38cfabff49c5c290128be6ba2c0660d	dd7e52fe27f7d4a599085e7180032f81874bcd1831dd7f81135ce608fe1b7093	s000013	s000015		{}
s000015	s	1491	1584	0bf800b93cf7abb29578748b2d477479489d11b0d90e74d4a5959f65931b2d13	4efda760139262c712c835a9ac3de7119ba55f5e323b1ca6b5d0c093ce49b23e	2f3a43bf862b96c513c089f77819be6d0668060b0a0b15fd0c8bc98013fe944c	s000014	s000016		{}
s000016	s	1585	1712	ff1868773139d08b38c7d2191e8b2ce85c32f37008ec3eb7f986105a97bf39cf	7534c0d18422ac64b6e6bd068b043f364837bdf6adc2f592b1f1bd0d3b124866	63ca2a3e56adfc50a0b6ba89e88a207f9314b566b55cf11a7cdbf679166d997e	s000015	s000017		{}
s000017	s	1715	1851	036e9d635c153fc99c03fa944f817c4981015f215f326c9ac6c252248adaec2c	5ce351b1d9f2242f8b77a1272b639ab1bcdceb5ad0c6006669bbd8ea08f2ae4d	bdabf3d735333297fbafffea2486bcfbd82ceecbadd58ad442547742902fb3f7	s000016	s000018		{}
s000018	s	1854	2036	ae7b8cf98b11365919dccda3d12b70194991867e7a2ffa7a640532637066eaed	8ab72c3ccfdda3a9968e78a76053dcb1ed21d4fdbeed67f7c780cda240088e5c	ebd6deecf17f5d4b4151221f02dc22f76558ecf42eca06cceea602e8fc73bda1	s000017	s000019		{}
s000019	s	2042	2406	afa37122ae6137b698203bebcf6b2725cc6f641865cd380fefb2a097eb5bdb2c	08b3758b1e5d09d736a2aeef394444cea2a52b77e4671d0ee8cd57a7b01640d7	89495d45cb927549c2d8f75ce4ceaf98f91ba6d3cf67c0032622838654e2b852	s000018	s000020		{}
s000020	s	2407	2451	6b6fd26bfbfc5f75b07d5296e126c56ecd8c0f6a4f0175b3b7cdb3ef6485d148	c111128710813018869d7d2555594bd735e23329281c164679f18082512c50b5	1894190cac535b372b3d2c11f56f58aa570adcb85ffa7016e625a22852b11732	s000019	s000021		{}
s000021	s	2452	2470	15d926112f1112fb626b0f093cbb3c9b353bb6d3259456b2f9735dc079d41662	b90d1aa74dd15994c0b6abae7105cd33a32a19364ced5028f9fa4fd445fd44f3	4b4299a757faac8620ba8bbb2c170752eb28c1379e3f3e6434f0355d3b90650f	s000020	s000022		{}
s000022	s	2470	2471	cdb4ee2aea69cc6a83331bbe96dc2caa9a299d21329efb0336fc02a82e1839a8	aacb9d621aaa54127653586d461e2aa23fe561ca429569adaf44ec510e7e74a4	0f72ffe12cf666892181a7e1cbd0be2a0b631261d6b963cdf531685325d1d9e4	s000021	s000023		{}
s000023	s	2471	2472	cdb4ee2aea69cc6a83331bbe96dc2caa9a299d21329efb0336fc02a82e1839a8	2da697f8119be302c8fd8aa61a6fbbffcc2cf15d76e5763f2cca243b4a08bad2	6bb64539137097376335e83fe2fe8f19595da08140c702ed1d6510b1b385f934	s000022	s000024		{}
