anchor_id	kind	start	end	checksum	context_pre	context_post	prev_id	next_id	parent_heading	attributes_json
p000001	p	0	17	1f8573ab0fb2280af42f3ac8024eb936c06f26ee39b55bac9e1db62861a03574	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	c318ec9af13066324d46bd8f6556b80117bbb3d5ead0e081659ff9ae193707f7		s000001		{}
s000001	s	0	17	1f8573ab0fb2280af42f3ac8024eb936c06f26ee39b55bac9e1db62861a03574	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	c318ec9af13066324d46bd8f6556b80117bbb3d5ead0e081659ff9ae193707f7	p000001	p000002		{}
p000002	p	18	30	9d37bd08e635e73bdc57417c637a83e55b0532958e8dbca8d1a126543acb69b6	c3f5da37239818f2a2127262deaac10b0cde7bc306c8c51e8e70f470b04646d7	616138eeaa4df264b365320edbf60f8566b38c238e86901412336f6702c711cd	s000001	s000002		{}
s000002	s	18	30	9d37bd08e635e73bdc57417c637a83e55b0532958e8dbca8d1a126543acb69b6	c3f5da37239818f2a2127262deaac10b0cde7bc306c8c51e8e70f470b04646d7	616138eeaa4df264b365320edbf60f8566b38c238e86901412336f6702c711cd	p000002	p000003		{}
p000003	h	31	66	b6c77602bce33ec34bc8925724f172167c3852a65373c713feeb7bedd0ddb810	c8df040b381ab89b3f8b883ddb9f6839c58e3f296a8543b0c7bb5cdb935791f7	954dfb334411ab557c7c1b1ad7928e22a62d9db7dffc00f0d143e3182e9bb659	s000002	s000003		{}
s000003	s	31	66	b6c77602bce33ec34bc8925724f172167c3852a65373c713feeb7bedd0ddb810	c8df040b381ab89b3f8b883ddb9f6839c58e3f296a8543b0c7bb5cdb935791f7	954dfb334411ab557c7c1b1ad7928e22a62d9db7dffc00f0d143e3182e9bb659	p000003	p000004	p000003	{}
p000004	p	67	664	dbafac6e05479f770c95282cc4a878bbaa86a609967c5f298f7a75697434b041	ade5c87ebcd7f490027f7b6017c08e31f47baffd8cffddc07540a4b0029c3d65	75cf07756259bdc409cf82de11738864b8e34270445ab042a967e250a0294db9	s000003	s000004	p000003	{}
s000004	s	67	664	dbafac6e05479f770c95282cc4a878bbaa86a609967c5f298f7a75697434b041	ade5c87ebcd7f490027f7b6017c08e31f47baffd8cffddc07540a4b0029c3d65	75cf07756259bdc409cf82de11738864b8e34270445ab042a967e250a0294db9	p000004	p000005	p000003	{}
p000005	p	665	1319	4fe5ca090940e7243de5019f58ab97f5bf3c71d019d12f767bcf544820aa17a6	9920a65ff90b17b3f8696758c1aff8794fb809ee3377702035b32b360a984132	52bb82b577f379efe8daa8c88719028735198ab481bc4af5d25bca270fe79c15	s000004	s000005	p000003	{}
s000005	s	665	1319	4fe5ca090940e7243de5019f58ab97f5bf3c71d019d12f767bcf544820aa17a6	9920a65ff90b17b3f8696758c1aff8794fb809ee3377702035b32b360a984132	52bb82b577f379efe8daa8c88719028735198ab481bc4af5d25bca270fe79c15	p000005	p000006	p000003	{}
p000006	p	1320	1506	f319b03a227827b08276db8dd70953b266216e2a5176700b762fcb9b5f5ef1b0	1115673fccfaf91eedb8d07861023ce6d8040f7e70c36f760e49622203527b5e	823526372bb3fc7f8749c312d455fdca10b9950d9088b417c64baf24f4c15cb0	s000005	s000006	p000003	{}
s000006	s	1320	1506	f319b03a227827b08276db8dd70953b266216e2a5176700b762fcb9b5f5ef1b0	1115673fccfaf91eedb8d07861023ce6d8040f7e70c36f760e49622203527b5e	823526372bb3fc7f8749c312d455fdca10b9950d9088b417c64baf24f4c15cb0	p000006	p000007	p000003	{}
p000007	p	1507	1684	bf19214c5ca04b962acb38d8e5003b48942799a5e4c1acc4ee28b431fa6a3594	0e594ae535cdeefd816aeee9be7f78938d845b364ec920eb0184862983bbb351	a82bd1c3f76e37a8222ed509cd9170b64acb69b8211579da9f232d6236ad10d0	s000006	s000007	p000003	{}
s000007	s	1507	1684	bf19214c5ca04b962acb38d8e5003b48942799a5e4c1acc4ee28b431fa6a3594	0e594ae535cdeefd816aeee9be7f78938d845b364ec920eb0184862983bbb351	a82bd1c3f76e37a8222ed509cd9170b64acb69b8211579da9f232d6236ad10d0	p000007	p000008	p000003	{}
p000008	p	1685	1819	973830f8d63b6f6837ecf6d4e095d780322d192f4f497bc054bdf27f52db73c0	bc0fc52e037863ae693197f33d6cd231afe8fd775d58510f197381891304f2a0	2135b0924369d86437fc692c6863a4063be2b1a58b5c31b18f37c9adb4f89ae0	s000007	s000008	p000003	{}
