anchor_id	anchor_type	start	end	label
A0001	sentence	0	7	sentence
A0002	sentence	9	21	sentence
A0003	sentence	23	79	sentence
A0004	sentence	81	98	sentence
A0005	table	100	2249	table
A0006	sentence	2251	2252	sentence
A0007	table	2254	3593	table
A0008	sentence	3595	3597	sentence
A0009	sentence	3599	3632	sentence
A0010	sentence	3634	3672	sentence
A0011	sentence	3674	3810	sentence
A0012	sentence	3811	3967	sentence
A0013	sentence	3968	4065	sentence
A0014	sentence	4066	4110	sentence
A0015	sentence	4112	4143	sentence
A0016	sentence	4145	4239	sentence
A0017	sentence	4240	4400	sentence
A0018	sentence	4401	4525	sentence
A0019	sentence	4526	4618	sentence
A0020	sentence	4619	4819	sentence
A0021	sentence	4821	4859	sentence
A0022	sentence	4860	5050	sentence
A0023	sentence	5051	5453	sentence
A0024	sentence	5454	5633	sentence
A0025	sentence	5635	5659	sentence
A0026	sentence	5661	5676	sentence
A0027	sentence	5677	5781	sentence
A0028	table	5783	5954	table
A0029	sentence	5956	5991	sentence
A0030	sentence	5993	6012	sentence
A0031	sentence	6013	6272	sentence
A0032	sentence	6273	6360	sentence
A0033	sentence	6362	6382	sentence
A0034	sentence	6383	6606	sentence
A0035	sentence	6607	6849	sentence
A0036	sentence	6850	7132	sentence
A0037	sentence	7133	7282	sentence
A0038	sentence	7284	7294	sentence
A0039	sentence	7296	7337	sentence
A0040	sentence	7339	7375	sentence
A0041	sentence	7376	7494	sentence
A0042	sentence	7495	7657	sentence
A0043	sentence	7658	7959	sentence
A0044	sentence	7960	8093	sentence
A0045	sentence	8095	8151	sentence
A0046	sentence	8152	8440	sentence
A0047	sentence	8441	8546	sentence
A0048	sentence	8548	8565	sentence
A0049	sentence	8566	8686	sentence
A0050	sentence	8687	8756	sentence
A0051	table	8758	8915	table
A0052	sentence	8917	8918	sentence
A0053	sentence	8920	8964	sentence
A0054	sentence	8966	8991	sentence
A0055	sentence	8992	9115	sentence
A0056	sentence	9116	9380	sentence
A0057	sentence	9381	9485	sentence
A0058	sentence	9487	9508	sentence
A0059	sentence	9509	9684	sentence
A0060	sentence	9686	9703	sentence
A0061	sentence	9704	9971	sentence
A0062	sentence	9972	10143	sentence
A0063	sentence	10144	10414	sentence
A0064	sentence	10415	10603	sentence
A0065	bullet	10605	10898	bullet
A0066	bullet	10899	11108	bullet
A0067	sentence	11110	11123	sentence
A0068	sentence	11124	11188	sentence
A0069	sentence	11189	11247	sentence
A0070	sentence	11248	11373	sentence
A0071	sentence	11375	11585	sentence
A0072	sentence	11587	11653	sentence
A0073	sentence	11655	11925	sentence
A0074	sentence	11927	11928	sentence
A0075	sentence	11930	12084	sentence
A0076	sentence	12086	12511	sentence
A0077	sentence	12512	13469	sentence
A0078	sentence	13471	13491	sentence
A0079	sentence	13492	13655	sentence
A0080	sentence	13657	13677	sentence
A0081	sentence	13678	13811	sentence
A0082	sentence	13813	13882	sentence
A0083	sentence	13884	14072	sentence
A0084	sentence	14074	14648	sentence
A0085	sentence	14649	14917	sentence
A0086	sentence	14919	14957	sentence
A0087	sentence	14958	15144	sentence
A0088	sentence	15145	15314	sentence
A0089	sentence	15316	15317	sentence
A0090	sentence	15319	15348	sentence
A0091	sentence	15349	15648	sentence
A0092	sentence	15650	15702	sentence
A0093	sentence	15703	16646	sentence
A0094	sentence	16648	16912	sentence
A0095	sentence	16913	17022	sentence
A0096	sentence	17023	17304	sentence
A0097	sentence	17305	17429	sentence
A0098	sentence	17430	17550	sentence
A0099	sentence	17552	17609	sentence
A0100	sentence	17611	17795	sentence
A0101	sentence	17796	18087	sentence
A0102	sentence	18088	18201	sentence
A0103	sentence	18203	18356	sentence
A0104	sentence	18358	18585	sentence
A0105	sentence	18587	18588	sentence
A0106	sentence	18590	18858	sentence
A0107	sentence	18860	18959	sentence
A0108	sentence	18960	19140	sentence
A0109	sentence	19141	19295	sentence
A0110	sentence	19296	19373	sentence
A0111	sentence	19374	19493	sentence
A0112	sentence	19494	19668	sentence
A0113	sentence	19670	19895	sentence
A0114	sentence	19896	20080	sentence
A0115	sentence	20081	20215	sentence
A0116	sentence	20216	20375	sentence
A0117	sentence	20377	20675	sentence
A0118	sentence	20677	20811	sentence
A0119	sentence	20812	20984	sentence
A0120	sentence	20986	21056	sentence
A0121	sentence	21057	21464	sentence
A0122	sentence	21466	21726	sentence
A0123	sentence	21727	21942	sentence
A0124	sentence	21944	21945	sentence
A0125	sentence	21947	21978	sentence
A0126	sentence	21980	21995	sentence
A0127	sentence	21996	22354	sentence
A0128	sentence	22356	22376	sentence
A0129	sentence	22377	22512	sentence
A0130	sentence	22514	22532	sentence
A0131	sentence	22533	22678	sentence
A0132	sentence	22679	22799	sentence
A0133	sentence	22800	22985	sentence
A0134	sentence	22986	23176	sentence
A0135	sentence	23178	23200	sentence
A0136	sentence	23201	23348	sentence
A0137	sentence	23349	23514	sentence
A0138	sentence	23516	23536	sentence
A0139	sentence	23537	23842	sentence
A0140	sentence	23844	23862	sentence
A0141	sentence	23863	24815	sentence
A0142	sentence	24817	24842	sentence
A0143	sentence	24843	25063	sentence
A0144	sentence	25065	25066	sentence
A0145	sentence	25068	25101	sentence
A0146	sentence	25103	25113	sentence
A0147	sentence	25114	26163	sentence
A0148	sentence	26164	26807	sentence
A0149	sentence	26808	27022	sentence
A0150	sentence	27024	27027	sentence
A0151	sentence	27029	27784	sentence
A0152	sentence	27785	27982	sentence
A0153	sentence	27984	28250	sentence
