anchor_id	anchor_type	start	end	label
A0001	sentence	0	24	sentence
A0002	sentence	26	274	sentence
A0003	sentence	275	596	sentence
A0004	sentence	597	726	sentence
A0005	sentence	727	742	sentence
A0006	sentence	743	840	sentence
A0007	sentence	841	996	sentence
A0008	sentence	997	1239	sentence
A0009	sentence	1240	1257	sentence
A0010	sentence	1258	1748	sentence
A0011	sentence	1749	1765	sentence
A0012	sentence	1766	1929	sentence
A0013	sentence	1930	1997	sentence
A0014	sentence	1998	2156	sentence
A0015	sentence	2157	2374	sentence
A0016	sentence	2375	2507	sentence
A0017	sentence	2508	2529	sentence
A0018	sentence	2530	2907	sentence
A0019	sentence	2909	3455	sentence
A0020	sentence	3456	3678	sentence
A0021	sentence	3679	3937	sentence
A0022	sentence	3938	4127	sentence
A0023	sentence	4128	4791	sentence
A0024	sentence	4792	5018	sentence
A0025	sentence	5019	5151	sentence
A0026	sentence	5152	5449	sentence
A0027	sentence	5450	5723	sentence
A0028	sentence	5724	5868	sentence
A0029	sentence	5869	6123	sentence
A0030	sentence	6124	6322	sentence
A0031	sentence	6324	6352	sentence
A0032	sentence	6353	6551	sentence
A0033	sentence	6552	6564	sentence
A0034	sentence	6565	6715	sentence
A0035	sentence	6716	6758	sentence
A0036	sentence	6759	7030	sentence
A0037	sentence	7031	7193	sentence
A0038	sentence	7194	7577	sentence
A0039	sentence	7578	7948	sentence
A0040	sentence	7950	8052	sentence
A0041	sentence	8053	8161	sentence
A0042	sentence	8162	8421	sentence
A0043	sentence	8422	8626	sentence
