anchor_id	anchor_type	start	end	label
A0001	sentence	0	12	sentence
A0002	sentence	14	39	sentence
A0003	table	41	99	table
A0004	sentence	101	141	sentence
A0005	sentence	143	161	sentence
A0006	sentence	163	181	sentence
A0007	sentence	183	214	sentence
A0008	sentence	216	251	sentence
A0009	sentence	253	284	sentence
A0010	sentence	286	307	sentence
A0011	sentence	309	342	sentence
A0012	sentence	344	386	sentence
A0013	sentence	388	409	sentence
A0014	sentence	411	750	sentence
A0015	sentence	751	1330	sentence
A0016	sentence	1332	1657	sentence
A0017	table	1659	1743	table
A0018	table	1745	2239	table
A0019	sentence	2241	3341	sentence
A0020	sentence	3343	3344	sentence
A0021	sentence	3346	4364	sentence
A0022	sentence	4365	4718	sentence
A0023	sentence	4720	4753	sentence
A0024	sentence	4755	5115	sentence
A0025	sentence	5117	5431	sentence
A0026	sentence	5433	5798	sentence
A0027	sentence	5800	6026	sentence
A0028	sentence	6028	6179	sentence
A0029	sentence	6181	6254	sentence
A0030	sentence	6256	6402	sentence
A0031	sentence	6404	6449	sentence
A0032	sentence	6451	6547	sentence
A0033	bullet	6549	6692	bullet
A0034	bullet	6693	6701	bullet
A0035	sentence	6703	7185	sentence
A0036	sentence	7187	7460	sentence
A0037	sentence	7462	7463	sentence
A0038	sentence	7465	8294	sentence
A0039	sentence	8295	8435	sentence
A0040	sentence	8437	8725	sentence
A0041	sentence	8727	8853	sentence
A0042	sentence	8854	9050	sentence
A0043	sentence	9052	9373	sentence
A0044	sentence	9374	9572	sentence
A0045	sentence	9574	9850	sentence
A0046	sentence	9851	9970	sentence
A0047	sentence	9971	10081	sentence
A0048	sentence	10083	10326	sentence
A0049	sentence	10327	10521	sentence
A0050	sentence	10523	10646	sentence
A0051	sentence	10648	11396	sentence
A0052	sentence	11397	11683	sentence
A0053	sentence	11684	12025	sentence
A0054	sentence	12027	12476	sentence
A0055	sentence	12477	12912	sentence
A0056	sentence	12914	12915	sentence
A0057	sentence	12917	13228	sentence
A0058	sentence	13230	13231	sentence
A0059	sentence	13233	13250	sentence
A0060	sentence	13252	13287	sentence
A0061	table	13289	13388	table
A0062	table	13390	13662	table
A0063	sentence	13664	13701	sentence
