anchor_id	anchor_type	start	end	label
A0001	sentence	0	12	sentence
A0002	sentence	14	31	sentence
A0003	sentence	33	51	sentence
A0004	sentence	53	449	sentence
A0005	sentence	451	633	sentence
A0006	sentence	635	737	sentence
A0007	sentence	739	1022	sentence
A0008	sentence	1024	1503	sentence
A0009	sentence	1505	1809	sentence
A0010	sentence	1811	1833	sentence
A0011	sentence	1835	2041	sentence
A0012	sentence	2043	2098	sentence
A0013	table	2100	2196	table
A0014	table	2198	2668	table
A0015	table	2670	3131	table
A0016	table	3133	3710	table
A0017	sentence	3712	3856	sentence
A0018	sentence	3858	4131	sentence
A0019	sentence	4132	4573	sentence
A0020	sentence	4575	4774	sentence
A0021	sentence	4775	4945	sentence
A0022	sentence	4946	5206	sentence
A0023	sentence	5207	5496	sentence
A0024	sentence	5498	5500	sentence
A0025	sentence	5501	6425	sentence
A0026	sentence	6427	6597	sentence
A0027	sentence	6599	6883	sentence
A0028	sentence	6885	7035	sentence
A0029	sentence	7037	7038	sentence
A0030	sentence	7040	7162	sentence
A0031	sentence	7164	7438	sentence
A0032	sentence	7440	7898	sentence
A0033	sentence	7900	8046	sentence
A0034	sentence	8048	8239	sentence
A0035	sentence	8241	8483	sentence
A0036	sentence	8485	8870	sentence
A0037	sentence	8872	9245	sentence
A0038	sentence	9247	9324	sentence
A0039	sentence	9326	9610	sentence
A0040	sentence	9611	9982	sentence
A0041	sentence	9984	9987	sentence
A0042	sentence	9988	10608	sentence
A0043	sentence	10610	10611	sentence
A0044	sentence	10613	10616	sentence
A0045	sentence	10617	10736	sentence
A0046	sentence	10738	10741	sentence
A0047	sentence	10742	11051	sentence
A0048	sentence	11053	11056	sentence
A0049	sentence	11057	11253	sentence
A0050	sentence	11254	12093	sentence
A0051	sentence	12094	12167	sentence
A0052	sentence	12169	12172	sentence
A0053	sentence	12173	12470	sentence
A0054	sentence	12471	12854	sentence
A0055	sentence	12856	12859	sentence
A0056	sentence	12860	13074	sentence
A0057	sentence	13075	13226	sentence
A0058	sentence	13228	13231	sentence
A0059	sentence	13232	13476	sentence
A0060	sentence	13478	13481	sentence
A0061	sentence	13482	14118	sentence
A0062	table	14120	14229	table
A0063	table	14231	14320	table
A0064	sentence	14322	14323	sentence
A0065	table	14325	14577	table
A0066	table	14579	14757	table
A0067	table	14759	14846	table
A0068	table	14848	14939	table
A0069	table	14941	15034	table
A0070	table	15036	15123	table
A0071	table	15125	15193	table
A0072	table	15195	15282	table
A0073	table	15284	15375	table
A0074	sentence	15377	15380	sentence
A0075	sentence	15381	15574	sentence
A0076	sentence	15575	15861	sentence
A0077	sentence	15863	15866	sentence
A0078	sentence	15867	16222	sentence
A0079	sentence	16224	16227	sentence
A0080	sentence	16228	16765	sentence
A0081	sentence	16766	17199	sentence
A0082	sentence	17201	17269	sentence
A0083	sentence	17271	17272	sentence
A0084	sentence	17274	17291	sentence
A0085	sentence	17293	17416	sentence
A0086	table	17418	17695	table
A0087	table	17697	17897	table
A0088	sentence	17899	17908	sentence
A0089	sentence	17910	17941	sentence
A0090	sentence	17943	17972	sentence
A0091	sentence	17974	17985	sentence
A0092	sentence	17987	17995	sentence
A0093	sentence	17997	18026	sentence
A0094	sentence	18028	18039	sentence
A0095	sentence	18041	18062	sentence
A0096	sentence	18064	18078	sentence
A0097	sentence	18080	18089	sentence
A0098	sentence	18091	18104	sentence
A0099	sentence	18106	18120	sentence
A0100	sentence	18122	18131	sentence
A0101	sentence	18133	18153	sentence
A0102	sentence	18155	18169	sentence
