anchor_id	anchor_type	start	end	label
A0001	sentence	0	24	sentence
A0002	sentence	26	1872	sentence
A0003	sentence	1873	2119	sentence
A0004	sentence	2120	2940	sentence
A0005	sentence	2941	3112	sentence
A0006	sentence	3114	3778	sentence
A0007	sentence	3779	4390	sentence
A0008	sentence	4391	6259	sentence
A0009	sentence	6261	7595	sentence
A0010	sentence	7596	7677	sentence
A0011	sentence	7678	7922	sentence
A0012	sentence	7923	8584	sentence
A0013	sentence	8585	9314	sentence
A0014	sentence	9315	9646	sentence
A0015	sentence	9648	9710	sentence
A0016	sentence	9711	10288	sentence
A0017	sentence	10289	11274	sentence
A0018	sentence	11275	13220	sentence
A0019	sentence	13222	13880	sentence
A0020	sentence	13881	14353	sentence
A0021	sentence	14354	14378	sentence
A0022	sentence	14379	14676	sentence
A0023	sentence	14677	15353	sentence
A0024	sentence	15354	15614	sentence
A0025	sentence	15615	16144	sentence
A0026	sentence	16145	16158	sentence
A0027	sentence	16159	16424	sentence
A0028	sentence	16426	16453	sentence
A0029	sentence	16454	16496	sentence
A0030	sentence	16497	17456	sentence
A0031	sentence	17457	17666	sentence
A0032	sentence	17667	17688	sentence
A0033	sentence	17689	18013	sentence
A0034	sentence	18014	19193	sentence
A0035	sentence	19194	19459	sentence
A0036	sentence	19461	19488	sentence
A0037	sentence	19489	19511	sentence
A0038	sentence	19512	19914	sentence
A0039	sentence	19915	20324	sentence
A0040	sentence	20325	20366	sentence
A0041	sentence	20367	20729	sentence
A0042	sentence	20730	20870	sentence
A0043	sentence	20871	21176	sentence
A0044	sentence	21177	21190	sentence
A0045	sentence	21191	21310	sentence
A0046	sentence	21311	21402	sentence
A0047	sentence	21403	21652	sentence
A0048	sentence	21654	21982	sentence
A0049	sentence	21984	22170	sentence
A0050	sentence	22171	22264	sentence
