anchor_id	anchor_type	start	end	label
A0001	sentence	0	24	sentence
A0002	sentence	26	1949	sentence
A0003	sentence	1950	2663	sentence
A0004	sentence	2664	3349	sentence
A0005	sentence	3351	3484	sentence
A0006	sentence	3485	4150	sentence
A0007	sentence	4151	6074	sentence
A0008	sentence	6076	6801	sentence
A0009	sentence	6802	7957	sentence
A0010	sentence	7958	9123	sentence
A0011	sentence	9124	9677	sentence
A0012	sentence	9679	10891	sentence
A0013	sentence	10892	11291	sentence
A0014	sentence	11292	11473	sentence
A0015	sentence	11474	12614	sentence
A0016	sentence	12615	12890	sentence
A0017	sentence	12891	13387	sentence
A0018	sentence	13389	14434	sentence
A0019	sentence	14435	14867	sentence
A0020	sentence	14868	15287	sentence
A0021	sentence	15288	15489	sentence
A0022	sentence	15490	15728	sentence
A0023	sentence	15729	16082	sentence
A0024	sentence	16083	16252	sentence
A0025	sentence	16253	16284	sentence
A0026	sentence	16286	17554	sentence
A0027	sentence	17555	18365	sentence
A0028	sentence	18366	19319	sentence
A0029	sentence	19321	19358	sentence
A0030	sentence	19359	20565	sentence
A0031	sentence	20566	21384	sentence
A0032	sentence	21385	21747	sentence
A0033	sentence	21748	22571	sentence
A0034	sentence	22572	22814	sentence
A0035	sentence	22816	22866	sentence
A0036	sentence	22867	23013	sentence
A0037	sentence	23014	23325	sentence
A0038	sentence	23326	24000	sentence
A0039	sentence	24001	24179	sentence
A0040	sentence	24180	24536	sentence
A0041	sentence	24537	25430	sentence
A0042	sentence	25431	26072	sentence
A0043	sentence	26073	26194	sentence
A0044	sentence	26196	26580	sentence
A0045	sentence	26581	26810	sentence
A0046	sentence	26811	27315	sentence
A0047	sentence	27316	28306	sentence
A0048	sentence	28307	28470	sentence
A0049	sentence	28471	28790	sentence
A0050	sentence	28791	29153	sentence
A0051	sentence	29154	29719	sentence
A0052	sentence	29720	29739	sentence
A0053	sentence	29741	30097	sentence
A0054	sentence	30098	30244	sentence
A0055	sentence	30245	30404	sentence
A0056	sentence	30405	30716	sentence
A0057	sentence	30717	30872	sentence
A0058	sentence	30873	31037	sentence
A0059	sentence	31038	32465	sentence
A0060	sentence	32466	32785	sentence
A0061	sentence	32786	33014	sentence
A0062	sentence	33015	33373	sentence
A0063	sentence	33375	33594	sentence
A0064	sentence	33595	33713	sentence
A0065	sentence	33714	34042	sentence
A0066	sentence	34043	34482	sentence
A0067	sentence	34484	34622	sentence
A0068	sentence	34623	34805	sentence
A0069	sentence	34807	34945	sentence
A0070	sentence	34946	35146	sentence
A0071	sentence	35148	35548	sentence
A0072	sentence	35550	35741	sentence
A0073	sentence	35743	35862	sentence
A0074	sentence	35863	36196	sentence
A0075	sentence	36198	36576	sentence
A0076	sentence	36577	36884	sentence
A0077	sentence	36886	37082	sentence
A0078	sentence	37084	37644	sentence
A0079	sentence	37645	37740	sentence
A0080	sentence	37741	37927	sentence
A0081	sentence	37928	38146	sentence
A0082	sentence	38147	38296	sentence
A0083	sentence	38297	38424	sentence
